subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC115,SPC,DZ,word_arrow,0,0,mask,visual_arrow,neutral,neutral,left,742.719002868,left,1
SPC115,SPC,DZ,word_arrow,0,1,mask,visual_arrow,valid,left,left,802.612222164,left,1
SPC115,SPC,DZ,word_arrow,0,2,mask,visual_word,neutral,neutral,right,654.040766156,right,1
SPC115,SPC,DZ,word_arrow,0,3,mask,visual_word,neutral,neutral,left,670.148775989,left,1
SPC115,SPC,DZ,word_arrow,0,4,mask,visual_word,valid,right,right,723.169427944,right,1
SPC115,SPC,DZ,word_arrow,0,5,mask,visual_arrow,neutral,neutral,right,623.444701938,right,1
SPC115,SPC,DZ,word_arrow,0,6,mask,visual_arrow,valid,right,right,474.542276963,right,1
SPC115,SPC,DZ,word_arrow,0,7,mask,visual_word,valid,left,left,514.663461538,left,1
SPC115,SPC,DZ,word_arrow,0,8,mask,visual_word,invalid,right,left,470.454138074,left,1
SPC115,SPC,DZ,word_arrow,0,9,mask,visual_word,valid,right,right,455.260934141,right,1
SPC115,SPC,DZ,word_arrow,0,10,mask,visual_arrow,valid,right,right,630.701052443,right,1
SPC115,SPC,DZ,word_arrow,0,11,mask,visual_arrow,invalid,left,right,478.128200859,right,1
SPC115,SPC,DZ,word_arrow,0,12,mask,visual_word,valid,left,left,510.37782956,left,1
SPC115,SPC,DZ,word_arrow,0,13,mask,visual_arrow,valid,left,left,500.301200962,left,1
SPC115,SPC,DZ,word_arrow,0,14,mask,visual_word,invalid,left,right,395.523596744,right,1
SPC115,SPC,DZ,word_arrow,0,15,mask,visual_arrow,invalid,right,left,568.016042715,left,1
SPC115,SPC,DZ,word_arrow,1,16,mask,visual_arrow,valid,left,left,586.824618458,left,1
SPC115,SPC,DZ,word_arrow,1,17,mask,visual_arrow,valid,right,right,367.305451706,right,1
SPC115,SPC,DZ,word_arrow,1,18,mask,visual_arrow,valid,left,left,467.055144421,left,1
SPC115,SPC,DZ,word_arrow,1,19,mask,visual_arrow,valid,right,right,363.842120762,right,1
SPC115,SPC,DZ,word_arrow,1,20,mask,visual_word,invalid,left,right,400.288717607,right,1
SPC115,SPC,DZ,word_arrow,1,21,mask,visual_arrow,neutral,neutral,right,364.041534365,right,1
SPC115,SPC,DZ,word_arrow,1,22,mask,visual_arrow,valid,right,right,399.478259755,right,1
SPC115,SPC,DZ,word_arrow,1,23,mask,visual_arrow,neutral,neutral,right,337.350519821,right,1
SPC115,SPC,DZ,word_arrow,1,24,mask,visual_arrow,invalid,left,right,430.714816142,right,1
SPC115,SPC,DZ,word_arrow,1,25,mask,visual_arrow,neutral,neutral,left,464.720436856,left,1
SPC115,SPC,DZ,word_arrow,1,26,mask,visual_arrow,valid,left,left,454.954291716,left,1
SPC115,SPC,DZ,word_arrow,1,27,mask,visual_word,invalid,right,left,525.041611185,left,1
SPC115,SPC,DZ,word_arrow,1,28,mask,visual_arrow,invalid,right,left,499.824272763,left,1
SPC115,SPC,DZ,word_arrow,1,29,mask,visual_word,invalid,right,left,464.985788181,left,1
SPC115,SPC,DZ,word_arrow,1,30,mask,visual_arrow,invalid,right,left,393.06245519,left,1
SPC115,SPC,DZ,word_arrow,1,31,mask,visual_word,valid,right,right,380.863976239,right,1
SPC115,SPC,DZ,word_arrow,1,32,mask,visual_word,invalid,left,right,385.292046503,right,1
SPC115,SPC,DZ,word_arrow,1,33,mask,visual_arrow,neutral,neutral,left,454.040766159,left,1
SPC115,SPC,DZ,word_arrow,1,34,mask,visual_word,valid,left,left,398.823683805,left,1
SPC115,SPC,DZ,word_arrow,1,35,mask,visual_arrow,valid,left,left,410.293326848,left,1
SPC115,SPC,DZ,word_arrow,1,36,mask,visual_arrow,valid,left,left,387.0483586,left,1
SPC115,SPC,DZ,word_arrow,1,37,mask,visual_arrow,valid,left,left,527.198991091,left,1
SPC115,SPC,DZ,word_arrow,1,38,mask,visual_word,neutral,neutral,left,388.622541741,left,1
SPC115,SPC,DZ,word_arrow,1,39,mask,visual_arrow,neutral,neutral,left,422.035043019,left,1
SPC115,SPC,DZ,word_arrow,1,40,mask,visual_word,invalid,left,right,477.842364027,right,1
SPC115,SPC,DZ,word_arrow,1,41,mask,visual_word,valid,left,left,587.297385537,left,1
SPC115,SPC,DZ,word_arrow,1,42,mask,visual_arrow,neutral,neutral,right,549.076871863,right,1
SPC115,SPC,DZ,word_arrow,1,43,mask,visual_arrow,neutral,neutral,right,536.168442075,right,1
SPC115,SPC,DZ,word_arrow,1,44,mask,visual_arrow,valid,left,left,483.254698865,left,1
SPC115,SPC,DZ,word_arrow,1,45,mask,visual_word,neutral,neutral,left,490.418224421,left,1
SPC115,SPC,DZ,word_arrow,1,46,mask,visual_word,valid,left,left,481.246479052,left,1
SPC115,SPC,DZ,word_arrow,1,47,mask,visual_arrow,invalid,left,right,401.335719042,right,1
SPC115,SPC,DZ,word_arrow,1,48,mask,visual_arrow,valid,right,right,899.404960055,right,1
SPC115,SPC,DZ,word_arrow,1,49,mask,visual_arrow,valid,left,left,378.880403052,left,1
SPC115,SPC,DZ,word_arrow,1,50,mask,visual_word,neutral,neutral,right,349.998719656,right,1
SPC115,SPC,DZ,word_arrow,1,51,mask,visual_arrow,valid,right,right,827.100404589,right,1
SPC115,SPC,DZ,word_arrow,1,52,mask,visual_word,valid,left,left,469.891106728,left,1
SPC115,SPC,DZ,word_arrow,1,53,mask,visual_arrow,invalid,left,right,389.698671002,right,1
SPC115,SPC,DZ,word_arrow,1,54,mask,visual_word,valid,left,left,391.473228003,left,1
SPC115,SPC,DZ,word_arrow,1,55,mask,visual_word,invalid,right,left,411.225097308,left,1
SPC115,SPC,DZ,word_arrow,1,56,mask,visual_word,neutral,neutral,right,486.666495955,right,1
SPC115,SPC,DZ,word_arrow,1,57,mask,visual_word,neutral,neutral,left,444.801482638,left,1
SPC115,SPC,DZ,word_arrow,1,58,mask,visual_arrow,valid,right,right,428.890005634,right,1
SPC115,SPC,DZ,word_arrow,1,59,mask,visual_word,valid,left,left,525.693626445,left,1
SPC115,SPC,DZ,word_arrow,1,60,mask,visual_arrow,valid,right,right,393.811136433,right,1
SPC115,SPC,DZ,word_arrow,1,61,mask,visual_arrow,neutral,neutral,left,525.596000207,left,1
SPC115,SPC,DZ,word_arrow,1,62,mask,visual_word,valid,right,right,386.714188775,right,1
SPC115,SPC,DZ,word_arrow,1,63,mask,visual_arrow,valid,right,right,367.486940489,right,1
SPC115,SPC,DZ,word_arrow,1,64,mask,visual_arrow,valid,right,right,427.27581174,right,1
SPC115,SPC,DZ,word_arrow,1,65,mask,visual_word,valid,right,right,478.030574621,right,1
SPC115,SPC,DZ,word_arrow,1,66,mask,visual_arrow,invalid,right,left,455.122656971,left,1
SPC115,SPC,DZ,word_arrow,1,67,mask,visual_word,valid,left,left,494.23813121,left,1
SPC115,SPC,DZ,word_arrow,1,68,mask,visual_word,neutral,neutral,right,412.997413703,right,1
SPC115,SPC,DZ,word_arrow,1,69,mask,visual_word,valid,left,left,804.452396806,right,0
SPC115,SPC,DZ,word_arrow,1,70,mask,visual_arrow,valid,right,right,565.726467277,right,1
SPC115,SPC,DZ,word_arrow,1,71,mask,visual_arrow,invalid,left,right,392.800944897,right,1
SPC115,SPC,DZ,word_arrow,1,72,mask,visual_arrow,valid,left,left,763.842440847,left,1
SPC115,SPC,DZ,word_arrow,1,73,mask,visual_arrow,valid,left,left,512.961243985,left,1
SPC115,SPC,DZ,word_arrow,1,74,mask,visual_arrow,valid,left,left,500.726275226,left,1
SPC115,SPC,DZ,word_arrow,1,75,mask,visual_arrow,valid,right,right,515.515210489,right,1
SPC115,SPC,DZ,word_arrow,1,76,mask,visual_word,invalid,right,left,449.965750791,left,1
SPC115,SPC,DZ,word_arrow,1,77,mask,visual_arrow,neutral,neutral,left,416.386804773,left,1
SPC115,SPC,DZ,word_arrow,1,78,mask,visual_arrow,valid,left,left,401.855538767,left,1
SPC115,SPC,DZ,word_arrow,1,79,mask,visual_arrow,valid,left,left,365.015236093,left,1
