subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC239,SPC,SK,visual_auditory,0,0,nomask,auditory_word,valid,left,left,732.525967062,left,1
SPC239,SPC,SK,visual_auditory,0,1,nomask,visual_word,valid,left,left,2116.61635968,timeout,0
SPC239,SPC,SK,visual_auditory,0,2,nomask,visual_word,valid,left,left,734.900692943,left,1
SPC239,SPC,SK,visual_auditory,0,3,nomask,auditory_word,invalid,right,down,629.322535708,down,1
SPC239,SPC,SK,visual_auditory,0,4,nomask,auditory_word,valid,left,left,272.127458593,left,1
SPC239,SPC,SK,visual_auditory,0,5,nomask,auditory_word,invalid,left,up,481.179520837,up,1
SPC239,SPC,SK,visual_auditory,0,6,nomask,auditory_word,neutral,neutral,right,593.256405788,right,1
SPC239,SPC,SK,visual_auditory,0,7,nomask,auditory_word,neutral,neutral,left,395.697389613,left,1
SPC239,SPC,SK,visual_auditory,0,8,nomask,auditory_word,invalid,right,down,614.110718132,down,1
SPC239,SPC,SK,visual_auditory,0,9,nomask,visual_word,valid,right,right,565.881919814,right,1
SPC239,SPC,SK,visual_auditory,0,10,nomask,visual_word,valid,left,left,497.012627427,left,1
SPC239,SPC,SK,visual_auditory,0,11,nomask,auditory_word,valid,right,right,431.116943713,right,1
SPC239,SPC,SK,visual_auditory,0,12,nomask,auditory_word,valid,left,left,456.847142428,left,1
SPC239,SPC,SK,visual_auditory,0,13,nomask,auditory_word,valid,left,left,407.899428625,left,1
SPC239,SPC,SK,visual_auditory,0,14,nomask,visual_word,invalid,left,down,584.333978826,down,1
SPC239,SPC,SK,visual_auditory,1,15,nomask,auditory_word,invalid,right,left,479.87292544,left,1
SPC239,SPC,SK,visual_auditory,1,16,nomask,visual_word,valid,left,left,415.312965168,left,1
SPC239,SPC,SK,visual_auditory,1,17,nomask,visual_word,valid,right,right,545.420034206,right,1
SPC239,SPC,SK,visual_auditory,1,18,nomask,visual_word,invalid,left,right,478.174223332,right,1
SPC239,SPC,SK,visual_auditory,1,19,nomask,visual_word,valid,right,right,374.582206365,right,1
SPC239,SPC,SK,visual_auditory,1,20,nomask,auditory_word,invalid,left,down,631.659491453,down,1
SPC239,SPC,SK,visual_auditory,1,21,nomask,auditory_word,valid,left,left,335.433317814,left,1
SPC239,SPC,SK,visual_auditory,1,22,nomask,visual_word,valid,left,left,444.203063264,left,1
SPC239,SPC,SK,visual_auditory,1,23,nomask,auditory_word,valid,left,left,546.947489725,left,1
SPC239,SPC,SK,visual_auditory,1,24,nomask,auditory_word,invalid,right,up,496.700862655,up,1
SPC239,SPC,SK,visual_auditory,1,25,nomask,auditory_word,valid,right,right,392.082966515,right,1
SPC239,SPC,SK,visual_auditory,1,26,nomask,visual_word,valid,right,right,385.523742414,right,1
SPC239,SPC,SK,visual_auditory,1,27,nomask,visual_word,valid,left,left,403.278651764,left,1
SPC239,SPC,SK,visual_auditory,1,28,nomask,visual_word,valid,left,left,307.371605071,left,1
SPC239,SPC,SK,visual_auditory,1,29,nomask,visual_word,invalid,right,left,409.121841076,left,1
SPC239,SPC,SK,visual_auditory,1,30,nomask,visual_word,valid,right,right,458.507754141,right,1
SPC239,SPC,SK,visual_auditory,1,31,nomask,auditory_word,neutral,neutral,right,417.61439119,right,1
SPC239,SPC,SK,visual_auditory,1,32,nomask,auditory_word,valid,right,right,393.048669212,right,1
SPC239,SPC,SK,visual_auditory,1,33,nomask,auditory_word,valid,right,right,322.473312845,right,1
SPC239,SPC,SK,visual_auditory,1,34,nomask,auditory_word,valid,right,right,279.20970507,right,1
SPC239,SPC,SK,visual_auditory,1,35,nomask,visual_word,valid,right,right,308.956676163,right,1
SPC239,SPC,SK,visual_auditory,1,36,nomask,auditory_word,valid,left,left,354.721764335,left,1
SPC239,SPC,SK,visual_auditory,1,37,nomask,auditory_word,neutral,neutral,right,358.103484148,right,1
SPC239,SPC,SK,visual_auditory,1,38,nomask,auditory_word,invalid,right,left,320.876078331,left,1
SPC239,SPC,SK,visual_auditory,1,39,nomask,auditory_word,valid,right,right,342.642318807,right,1
SPC239,SPC,SK,visual_auditory,1,40,nomask,visual_word,valid,right,right,292.71993984,right,1
SPC239,SPC,SK,visual_auditory,1,41,nomask,visual_word,valid,right,right,592.79516025,right,1
SPC239,SPC,SK,visual_auditory,1,42,nomask,visual_word,valid,left,left,372.181873536,left,1
SPC239,SPC,SK,visual_auditory,1,43,nomask,visual_word,neutral,neutral,left,414.984875941,left,1
SPC239,SPC,SK,visual_auditory,1,44,nomask,auditory_word,valid,left,left,314.052782371,left,1
SPC239,SPC,SK,visual_auditory,1,45,nomask,auditory_word,valid,left,left,248.746699071,left,1
SPC239,SPC,SK,visual_auditory,1,46,nomask,auditory_word,valid,right,right,231.857625302,right,1
SPC239,SPC,SK,visual_auditory,1,47,nomask,auditory_word,invalid,right,left,407.622873434,up,0
SPC239,SPC,SK,visual_auditory,1,48,nomask,visual_word,valid,right,right,593.665156863,right,1
SPC239,SPC,SK,visual_auditory,1,49,nomask,auditory_word,valid,right,right,333.478866261,right,1
SPC239,SPC,SK,visual_auditory,1,50,nomask,visual_word,valid,left,left,296.210489236,left,1
SPC239,SPC,SK,visual_auditory,1,51,nomask,auditory_word,valid,right,right,365.617527976,right,1
SPC239,SPC,SK,visual_auditory,1,52,nomask,auditory_word,valid,right,right,330.034089275,right,1
SPC239,SPC,SK,visual_auditory,1,53,nomask,visual_word,valid,right,right,415.117391967,right,1
SPC239,SPC,SK,visual_auditory,1,54,nomask,auditory_word,valid,left,left,487.208680832,left,1
SPC239,SPC,SK,visual_auditory,1,55,nomask,auditory_word,valid,left,left,286.015716381,left,1
SPC239,SPC,SK,visual_auditory,1,56,nomask,visual_word,neutral,neutral,right,460.388585692,right,1
