subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC246a,SPC,SK,visual_auditory,0,0,mask,visual_word,valid,left,left,2116.64484732,timeout,0
SPC246a,SPC,SK,visual_auditory,0,1,mask,visual_word,invalid,right,up,2116.61860032,timeout,0
SPC246a,SPC,SK,visual_auditory,0,2,mask,visual_word,valid,right,right,2116.69190018,timeout,0
SPC246a,SPC,SK,visual_auditory,0,3,mask,visual_word,valid,right,right,354.691035929,right,1
SPC246a,SPC,SK,visual_auditory,0,4,mask,auditory_word,valid,left,left,512.178672594,left,1
SPC246a,SPC,SK,visual_auditory,0,5,mask,auditory_word,valid,right,right,2116.63780548,timeout,0
SPC246a,SPC,SK,visual_auditory,0,6,mask,visual_word,invalid,left,down,2116.62052071,timeout,0
SPC246a,SPC,SK,visual_auditory,0,7,mask,auditory_word,invalid,left,up,2116.62820284,timeout,0
SPC246a,SPC,SK,visual_auditory,0,8,mask,visual_word,valid,left,left,2116.61603954,timeout,0
SPC246a,SPC,SK,visual_auditory,0,9,mask,visual_word,valid,left,left,2116.61571939,timeout,0
SPC246a,SPC,SK,visual_auditory,0,10,mask,visual_word,valid,right,right,2116.63748533,timeout,0
SPC246a,SPC,SK,visual_auditory,0,11,mask,auditory_word,valid,left,left,1064.77089773,left,1
SPC246a,SPC,SK,visual_auditory,0,12,mask,visual_word,valid,left,left,1280.18437012,left,1
SPC246a,SPC,SK,visual_auditory,0,13,mask,auditory_word,valid,right,right,134.696477442,right,1
SPC246a,SPC,SK,visual_auditory,0,14,mask,visual_word,valid,right,right,2116.64356699,timeout,0
SPC246a,SPC,SK,visual_auditory,1,15,mask,visual_word,invalid,left,right,2116.62980332,timeout,0
SPC246a,SPC,SK,visual_auditory,1,16,mask,visual_word,valid,left,left,277.501400327,left,1
SPC246a,SPC,SK,visual_auditory,1,17,mask,auditory_word,valid,left,left,636.907638866,left,1
SPC246a,SPC,SK,visual_auditory,1,18,mask,auditory_word,valid,right,right,2116.70662416,timeout,0
SPC246a,SPC,SK,visual_auditory,1,19,mask,visual_word,valid,left,left,2116.60931772,timeout,0
SPC246a,SPC,SK,visual_auditory,1,20,mask,auditory_word,valid,left,left,2116.61571939,timeout,0
SPC246a,SPC,SK,visual_auditory,1,21,mask,auditory_word,valid,left,left,2116.58659158,timeout,0
SPC246a,SPC,SK,visual_auditory,1,22,mask,auditory_word,valid,left,left,2116.61155836,timeout,0
