subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	0	0					False	1	right	210.355351778	1.98824363113	0.6	0.083	1086.75594546		nogo	0
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	1	0					False	1	right	214.26071338	4.62592119077	0.6	0.083	945.883383509	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	2	0					False	1	left	-180.360200734	18.2010135232	0.6	0.083	592.372744111	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	3	0					False	1	left	-206.610459001	22.2966452317	0.6	0.083	452.737806248	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	4	0					False	1	right	180.484564692	13.4937852581	0.6	0.083	572.978592594	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	5	0					False	0					0.083	1087.72884577		nogo	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	6	0					False	1	left	-212.587170614	-16.1040683217	0.6	0.083	560.712091159	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	7	0					False	0					0.083	1077.18898554		nogo	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	8	0					False	1	right	189.058215795	-8.4410583429	0.6	0.083	403.67821767	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	practice	9	0					False	1	right	221.762611899	-13.5050418771	0.6	0.083	444.747958798	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	cueing_effect	0	1	frame	right	200	0	False	1	right	198.88548159	15.4281550274	0.6	0.083	462.252783938	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	cueing_effect	1	1	sound	right			False	1	right	190.091849556	-21.0919957828	0.6	0.083	489.094499964	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	cueing_effect	2	1	frame	right	200	0	False	1	right	216.849471004	14.7410994785	0.6	0.083	404.580525006	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	cueing_effect	3	1	sound	left			False	1	left	-204.535798212	-10.8003085174	0.6	0.083	334.538762807	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	cueing_effect	4	0					False	1	left	-192.373783498	17.4893037359	0.6	0.083	485.350823263	 	go	1
SPC407	2015_Apr_23_1349	LL-Elaine	ao	cueing_effect	5	0					False	1	right	207.733578621	9.03717794352	0.6	0.083	426.081557409	 	go	1
