subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	0	0					1	left	-179.516882899	3.54023602434	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	1	0					1	right	222.654573788	-0.358073138957	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	2	0					1	left	-198.773573395	-11.768498791	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	3	0					1	left	-198.989601151	1.1018252739	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	4	0					1	right	189.764260653	-18.2285350935	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	5	0					1	left	-197.31941505	-11.3145779979	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	6	0					1	left	-217.249817141	8.3162407138	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	7	0					1	left	-219.046876518	10.3061335371	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	8	0					0					0.0	y	present	0
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	9	0					1	right	208.988386911	-21.4714064932	1.0	2063.01803933		timeout	0
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	10	0					1	right	198.82457789	-4.7621922572	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	11	0					1	left	-183.483650297	-3.66619645201	1.0	352.423907258	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	12	0					1	right	182.458070593	13.7611295775	1.0	0.0	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	13	0					1	left	-182.624572278	-5.27379246075	1.0	53.1993503682	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	14	0					1	left	-195.767124946	11.2646781402	1.0	2071.22867927		timeout	0
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	15	0					1	right	186.185811294	-20.4537314265	1.0	2069.52626863		timeout	0
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	16	0					1	right	217.375080019	6.64122130915	1.0	2057.52010364		timeout	0
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	17	0					1	right	207.307429859	-7.66001429746	1.0	933.280407451	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	18	0					1	left	-198.327692726	-9.26961918958	1.0	1461.56338695	y	present	1
SPC1_108	2015_Apr_09_1726	LL-Kramer	PME	practice	19	0					1	right	203.158562959	12.4169965455	1.0	1124.496656	u	absent	0
