subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	0	0					1	left	-222.694942311	22.5010942984	1.0	792.546779849	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	1	0					1	right	189.615556089	-7.54244475415	1.0	612.464451231	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	2	0					1	right	212.815600221	18.2812407176	1.0	1337.99752453		nogo	0
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	3	0					1	right	211.928689045	-18.8063177536	1.0	477.474031504	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	4	0					1	left	-197.952153574	-0.575895487584	1.0	469.286270905	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	5	0					1	right	195.040452422	-13.8283094533	1.0	519.259958528	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	6	0					0					1336.4114603		nogo	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	7	0					0					1337.42507407		nogo	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	8	0					0					1328.68466666		nogo	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	practice	9	0					1	left	-214.505812153	-11.935817533	1.0	445.95480198	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	0	0					0					1323.94884247		nogo	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	1	1	sound	right			1	right	190.633255407	-11.2720134042	1.0	0.0	 	go	0
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	2	1	frame	right	200	0	1	right	210.403617815	-6.34554622788	1.0	611.178363673	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	3	1	sound	right			1	right	212.732253198	-4.05403851268	1.0	504.854457919	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	4	1	frame	right	200	0	1	right	211.305381371	8.32487613385	1.0	568.955305964	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	5	1	sound	right			1	right	191.151229157	-21.2952653253	1.0	525.115379132	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	6	1	frame	left	-200	0	1	left	-184.184188861	-10.5156622747	1.0	439.642081037	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	7	1	sound	left			1	left	-184.750414154	-15.3238238795	1.0	392.176759429	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	8	1	frame	left	-200	0	1	left	-200.809563181	-22.0813448201	1.0	369.797661901	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	9	0					1	right	176.618384946	-18.2556829638	1.0	451.269309968	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	10	0					1	left	-202.802430632	7.14843130847	1.0	507.680770475	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	11	1	frame	left	-200	0	1	left	-197.942619308	-3.95508520366	1.0	411.087417044	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	12	1	frame	left	-200	0	1	left	-214.112522706	-7.90089445504	1.0	336.269539315	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	13	1	frame	left	-200	0	1	left	-211.095001331	5.54235826693	1.0	344.59408652	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	14	1	frame	left	-200	0	1	left	-177.762945699	20.6070157424	1.0	408.79798308	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	15	1	sound	right			1	right	209.913676369	-1.65475557972	1.0	482.95869818	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	16	1	sound	left			1	left	-222.198356941	-10.8329325739	1.0	469.502635766	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	17	1	sound	right			1	right	207.78988758	-1.29050968534	1.0	573.888792191	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	18	1	frame	right	200	0	1	right	185.12560604	-1.72132350867	1.0	411.333852913	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	19	1	frame	left	-200	0	1	left	-196.320733532	5.71722865548	1.0	449.843502138	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	20	1	sound	right			1	right	214.662595138	-6.88835029566	1.0	409.850102849	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	21	0					1	left	-198.28456373	17.8823375595	1.0	435.256842058	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	22	1	frame	left	-200	0	1	left	-193.854818388	19.1504262459	1.0	502.492046915	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	23	1	sound	left			1	left	-205.645719099	3.88773068218	1.0	440.828420687	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	24	0					1	left	-196.988858123	4.47297665368	1.0	449.384001549	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	25	0					1	left	-209.475355107	-14.3546687869	1.0	377.488884144	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	26	1	frame	left	-200	0	1	left	-193.995912243	-5.28712296535	1.0	537.166903261	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	27	1	sound	left			0					1331.35438943		nogo	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	28	0					0					1336.33041475		nogo	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	29	1	frame	right	200	0	1	right	209.670374057	14.1067142291	1.0	496.597020421	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	30	0					1	left	-217.108970129	-15.188356948	1.0	463.57130399	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	31	1	frame	right	200	0	1	right	213.20063322	-11.7850433187	1.0	580.537428614	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	32	1	sound	right			1	right	222.920261368	15.1221064894	1.0	1330.28906723		nogo	0
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	33	0					1	right	205.34528067	-10.1382569647	1.0	761.122530326	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	34	0					1	right	185.000486066	22.2860959464	1.0	600.328214467	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	35	1	frame	right	200	0	1	right	222.516238851	-10.1179412402	1.0	645.871922839	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	36	0					1	right	191.248465783	-6.75625574503	1.0	510.077652987	 	go	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	37	0					0					1330.41265188		nogo	1
SPC3_304	2015_Apr_15_1222	LL-George	AO	cueing_effect	38	1	sound	right			1	right	189.816524717	3.92304670498	1.0	0.0	 	go	0
