subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	0	0					False	0					0.083	1088.47075095		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	1	0					False	0					0.083	1078.65011226		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	2	0					False	1	left	-222.098714497	-23.5473578304	0.6	0.083	1080.45507316		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	3	0					False	1	right	204.407066502	20.4010744055	0.6	0.083	1085.77481285		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	4	0					False	1	right	190.804589242	-4.43472619404	0.6	0.083	1080.63443843		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	5	0					False	1	left	-188.254413441	13.8510342655	0.6	0.083	1082.85310864		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	6	0					False	1	left	-178.251521435	-17.0549991979	0.6	0.083	1079.23304988		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	7	0					False	1	right	179.796695629	1.98491595358	0.6	0.083	1082.07403962		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	8	0					False	0					0.083	1087.39689924		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	9	0					False	0					0.083	1076.93639444		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	0	0					False	0					0.083	1085.39190702		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	1	0					False	0					0.083	1085.20903299		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	2	0					False	1	right	179.911874119	9.25056160436	0.6	0.083	1085.55099647		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	3	0					False	1	right	205.354208939	-23.2840765232	0.6	0.083	1085.79898858		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	4	0					False	1	left	-199.373388984	-23.1237159598	0.6	0.083	214.537243359	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	5	0					False	1	left	-217.60709976	-12.7867959469	0.6	0.083	0.0	 	go	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	6	0					False	0					0.083	1085.74088989		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	7	0					False	1	right	210.721935184	-10.5650158356	0.6	0.083	1085.50108643		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	8	0					False	1	right	211.670535865	-9.09939070194	0.6	0.083	1080.31548001		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	9	0					False	1	left	-192.212304764	-21.47078379	0.6	0.083	1094.08644401		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	0	0					False	0					0.083	1085.79157991		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	1	0					False	1	left	-213.431450649	-21.5890412459	0.6	0.083	1087.4413508		nogo	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	2	0					False	1	right	205.911097055	-6.65197186182	0.6	0.083	779.335872736	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	3	0					False	0					0.083	1080.97874187		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	4	0					False	1	left	-201.584883012	-21.592253157	0.6	0.083	339.128651191	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	5	0					False	1	left	-211.783253816	-21.1298095473	0.6	0.083	306.588281412	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	6	0					False	1	left	-201.28545838	-22.8958142812	0.6	0.083	310.724210925	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	7	0					False	1	right	201.850425025	-6.2489271335	0.6	0.083	310.359241441	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	8	0					False	1	right	220.956939101	-5.03090174686	0.6	0.083	268.101562746	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	practice	9	0					False	1	right	206.489641141	-14.0332621012	0.6	0.083	257.627021056	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	0	0					False	1	left	-184.911926825	-8.94614753013	0.6	0.083	593.063476961	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	1	0					False	1	left	-205.970137155	-7.84413970642	0.6	0.083	312.082317658	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	2	1	sound	right			False	0					0.083	0.0	 	go	0
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	3	0					False	1	left	-186.667171216	-7.63326063102	0.6	0.083	327.742855996	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	4	1	frame	left	-200	0	False	0					0.083	1079.11997195		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	5	0					False	1	left	-222.303445877	-4.37348486603	0.6	0.083	347.254677676	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	6	0					False	0					0.083	1085.99979943		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	7	0					False	1	left	-222.570951987	0.511913059288	0.6	0.083	472.581873182	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	8	0					False	1	right	176.777896333	-5.5298125937	0.6	0.083	341.841745656	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	9	0					False	0					0.083	1094.30012247		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	10	0					False	1	right	195.7489494	4.30863930549	0.6	0.083	284.949420951	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	11	0					False	1	left	-209.947217142	-0.956588766168	0.6	0.083	345.784662291	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	12	0					False	1	right	207.774346547	-8.32688162818	0.6	0.083	286.553960294	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	13	1	sound	right			False	1	right	193.745186559	-11.5626145626	0.6	0.083	413.840916008	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	14	1	frame	left	-200	0	False	1	left	-191.6341914	18.5603241521	0.6	0.083	466.495931614	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	15	1	frame	right	200	0	False	1	right	209.938414292	-20.2632865265	0.6	0.083	451.907685958	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	16	1	sound	right			False	1	right	207.95949567	21.2430524846	0.6	0.083	389.330651611	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	17	0					False	1	right	188.052574916	1.67639704272	0.6	0.083	369.344291277	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	18	1	sound	left			False	0					0.083	1077.8328306		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	19	1	frame	left	-200	0	False	1	left	-180.817385935	-8.96688688746	0.6	0.083	561.518974602	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	20	1	sound	left			False	0					0.083	1082.25301513		nogo	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	21	1	frame	right	200	0	False	1	right	214.962838733	-3.44526614221	0.6	0.083	563.626906369	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	22	0					False	1	left	-192.457457565	-17.0817424413	0.6	0.083	393.035714515	 	go	1
SPC401a	2015_Apr_23_1314	LL-Kramer	ao	cueing_effect	23	1	frame	left	-200	0	False	0					0.083	1082.81255653		nogo	1
