subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	0	0					False	1	left	-185.402281358	-15.3135593256	0.6	0.083	746.128540486	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	1	0					False	1	left	-185.862180018	1.11335599921	0.6	0.083	591.948509216	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	2	0					False	1	right	178.795385149	8.45667143316	0.6	0.083	395.070843399	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	3	0					False	0					0.083	1081.37114719		nogo	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	4	0					False	1	right	199.276648737	7.93306680049	0.6	0.083	337.116265669	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	5	0					False	0					0.083	1087.26055548		nogo	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	6	0					False	1	right	210.78164248	-17.0669484443	0.6	0.083	321.253648028	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	7	0					False	0					0.083	1080.05183004		nogo	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	8	0					False	0					0.083	1078.99903692		nogo	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	practice	9	0					False	1	left	-185.387889949	-12.1142043948	0.6	0.083	389.574192464	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	0	0					False	0					0.083	1088.00195903		nogo	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	1	0					False	1	left	-218.083841684	11.5262302784	0.6	0.083	370.879411697	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	2	1	sound	right			False	1	right	197.248847038	5.22245164306	0.6	0.083	438.11446242	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	3	1	sound	left			False	1	left	-186.551427589	8.65957801116	0.6	0.083	433.402556926	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	4	1	frame	left	-200	0	False	1	left	-187.618052165	16.6124455159	0.6	0.083	630.090115592	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	5	1	sound	left			False	1	left	-191.810417185	-20.6772366299	0.6	0.083	413.352338597	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	6	1	frame	right	200	0	False	1	right	193.634785092	9.56734884195	0.6	0.083	587.849115953	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	7	0					False	1	right	211.853371588	-22.4558188107	0.6	0.083	373.730583116	 	go	1
SPC418	2015_Apr_24_1155	LL-Jerry	wr	cueing_effect	8	0					False	1	left	-210.762936694	-1.74099615263	0.6	0.083	320.0499136	 	go	1
