subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	interval	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	0	0					0.1	1	right	177.923481583	3.95416514226	1.0	559.310395271	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	1	0					0.1	0					1338.44775334		nogo	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	2	0					0.1	0					1331.16070367		nogo	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	3	0					0.1	1	right	180.575248713	2.02949968339	1.0	541.264250875	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	4	0					0.1	1	left	-210.537640713	-11.9677118696	1.0	677.502693608	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	5	0					0.1	1	right	216.837340142	21.5259474226	1.0	530.637083575	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	6	0					0.1	0					1338.14966865		nogo	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	7	0					0.1	0					1333.81074667		nogo	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	8	0					0.1	1	right	183.32574177	6.05117961399	1.0	920.490724966	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	practice	9	0					0.1	0					1331.53330535		nogo	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	0	1	sound	left			0.1	1	left	-184.561271638	-3.28015808793	1.0	417.085971683	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	1	1	frame	left	-200	0	0.1	1	left	-186.832614564	-19.8279721731	1.0	613.717641681	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	2	0					0.1	1	left	-182.369457289	3.91829016782	1.0	514.658121392	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	3	1	frame	right	200	0	0.1	1	right	221.788248282	0.967181283812	1.0	1330.74247465		nogo	0
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	4	1	sound	right			0.1	1	right	185.156471987	5.02314061886	1.0	462.469004095	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	5	1	frame	left	-200	0	0.1	1	left	-184.264481845	-15.0204392087	1.0	409.197816625	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	6	0					0.1	1	right	177.625515578	-18.3697770986	1.0	425.011007115	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	7	0					0.1	1	left	-193.519188627	0.818175851538	1.0	473.554320633	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	8	1	frame	right	200	0	0.1	1	right	186.744180727	-13.8190133525	1.0	45.4347413033	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	9	0					0.1	1	left	-204.991835245	-10.7280189923	1.0	361.306939274	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	10	1	frame	right	200	0	0.1	1	right	200.2716641	-1.45059685869	1.0	395.369306207	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	11	1	sound	left			0.1	1	left	-221.650472416	18.2048700637	1.0	533.069647849	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	12	1	sound	right			0.1	1	right	182.749031825	-19.329615187	1.0	414.100967348	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	13	1	sound	right			0.1	1	right	201.00139322	-5.1274247014	1.0	354.98181358	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	14	1	sound	left			0.1	1	left	-209.061241451	-21.3811334538	1.0	404.203796759	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	15	0					0.1	1	right	190.224974523	-15.2784146682	1.0	528.841745108	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	16	1	sound	left			0.1	1	left	-177.865519509	-11.9482712497	1.0	413.154251873	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	17	1	frame	right	200	0	0.1	1	right	215.113939578	-17.9208546945	1.0	436.939243227	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	18	0					0.1	1	right	222.573219982	5.00906161828	1.0	445.918209851	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	19	1	sound	right			0.1	1	right	213.498854283	15.7667995741	1.0	460.038719699	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	20	1	sound	right			0.1	0					713.964167982	 	go	0
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	21	0					0.1	1	right	209.857073604	19.6360105471	1.0	687.672091648	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	22	1	sound	left			0.1	1	left	-214.94305363	15.416842477	1.0	406.371736899	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	23	1	sound	right			0.1	0					1329.01975699		nogo	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	24	0					0.1	1	left	-213.278608618	-7.52377709578	1.0	437.700416893	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	25	1	sound	right			0.1	1	right	196.024692277	-8.70979534958	1.0	414.153436199	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	26	1	sound	left			0.1	1	left	-205.042481319	8.72083112602	1.0	462.187651545	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	27	0					0.1	1	left	-211.824367844	0.170835732684	1.0	556.877830997	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	28	1	frame	left	-200	0	0.1	0					1328.43613997		nogo	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	29	0					0.1	1	right	207.925819618	7.13851069564	1.0	479.870699346	 	go	1
SPC502a	2015_Apr_24_1313	LL-Jerry	wr	cueing_effect	30	1	sound	right			0.1	1	right	187.927749978	0.700696199124	1.0	398.226562887	 	go	1
