subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	interval	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	0	0					0.1	0					1337.409653		nogo	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	1	0					0.1	1	left	-205.633717658	4.94019966329	1.0	1337.52837765		nogo	0
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	2	0					0.1	0					1337.77641586		nogo	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	3	0					0.1	1	left	-211.572407106	5.45977824539	1.0	472.709857859	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	4	0					0.1	1	left	-178.159507056	-16.6064125123	1.0	415.652399883	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	5	0					0.1	1	right	211.764036229	20.2713522281	1.0	346.543749212	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	6	0					0.1	0					1345.32922821		nogo	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	7	0					0.1	0					74.7079614084	 	go	0
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	8	0					0.1	0					1338.10435259		nogo	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	practice	9	0					0.1	1	right	219.077098214	16.6110168462	1.0	492.85422056	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	0	0					0.1	0					1338.14382053		nogo	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	1	1	sound	left			0.1	1	left	-193.68427041	-8.56692971997	1.0	697.96868565	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	2	1	sound	right			0.1	1	right	218.900528096	-17.7836125347	1.0	561.71900453	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	3	1	frame	left	-200	0	0.1	0					1338.36618846		nogo	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	4	0					0.1	1	right	192.367672786	1.60225200774	1.0	428.242666763	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	5	1	sound	right			0.1	1	right	210.8259503	2.28039662787	1.0	95.0493429555	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	6	1	sound	right			0.1	1	right	188.681309647	8.99257393318	1.0	406.858433736	 	go	1
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	7	0					0.1	1	left	-198.404857557	-9.93122329854	1.0	1330.47805913		nogo	0
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	8	1	frame	right	200	0	0.1	0					59.0478605591	 	go	0
SPC511	2015_Apr_24_1501	LL-Elaine	ns	cueing_effect	9	1	sound	right			0.1	1	right	206.3177639	0.279547261348	1.0	163.625016226	 	go	1
