subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	0	0					False	1	left	-218.980741642	-6.12761203475	0.6	0.083	1085.64385449		nogo	0	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	1	0					False	1	left	-200.533300084	-23.7364339953	0.6	0.083	850.468823905	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	2	0					False	1	right	210.866076581	4.15169533983	0.6	0.083	511.28417626	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	3	0					False	1	left	-197.075171995	-7.48556949878	0.6	0.083	555.41604977	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	4	0					False	1	left	-200.144645009	3.22405103623	0.6	0.083	470.109088754	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	5	0					False	0					0.083	1085.75849184		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	6	0					False	0					0.083	1085.94643473		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	7	0					False	1	left	-204.087535699	4.03434067499	0.6	0.083	496.78294039	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	8	0					False	1	right	195.533999567	-16.5159875151	0.6	0.083	443.350233894	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	practice	9	0					False	1	right	201.967982967	-0.0896683701704	0.6	0.083	446.852912079	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	0	0					False	1	right	217.491138569	-6.17096934396	0.6	0.083	469.431402613	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	1	1	frame	left	-200	0	False	1	left	-196.337983746	-23.2082928411	0.6	0.083	756.866251337	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	2	1	frame	left	-200	0	False	1	left	-190.582912795	-16.2728033271	0.6	0.083	469.74568053	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	3	0					False	1	left	-193.526767434	-15.6968867354	0.6	0.083	422.267098038	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	4	0					False	1	right	204.578425142	19.3376067792	0.6	0.083	439.05289266	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	5	0					False	0					0.083	1086.17414974		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	6	1	frame	left	-200	0	False	1	left	-210.450853606	-4.98702634071	0.6	0.083	375.419020987	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	7	1	frame	left	-200	0	False	1	left	-200.56368596	2.80797158035	0.6	0.083	390.753132349	 	go	1	0.1
