subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	0	0					0					1330.77880787		nogo	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	1	0					0					1329.0806869		nogo	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	2	0					1	left	-212.032442717	-18.6311871493	1.0	892.404231708	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	3	0					0					1338.01151719		nogo	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	4	0					0					1328.11328396		nogo	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	5	0					1	right	213.872587983	-6.6945812515	1.0	584.523740225	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	6	0					1	right	192.88864324	-19.7000103686	1.0	453.370682895	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	7	0					1	right	220.13744677	-23.7029494807	1.0	551.154000685	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	8	0					1	right	209.358632542	8.11740493301	1.0	402.659831103	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	practice	9	0					1	right	194.327192503	7.43733922013	1.0	557.706682477	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	0	1	frame	right	200	0	1	right	209.558716381	16.8250582207	1.0	468.939978164	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	1	1	sound	right			1	right	178.635463826	-8.21561729625	1.0	470.907147974	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	2	0					1	left	-216.248501408	21.0553416523	1.0	802.13397881	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	3	0					1	right	177.959310197	0.798787747142	1.0	591.052246746	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	4	1	frame	left	-200	0	1	left	-213.558550537	-23.1736661719	1.0	1338.03023398		nogo	0
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	5	0					1	left	-208.076704766	21.4124677502	1.0	570.899778046	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	6	1	sound	left			0					1336.69084311		nogo	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	7	0					0					1336.5754257		nogo	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	8	1	frame	left	-200	0	0					1335.13270505		nogo	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	9	0					1	left	-210.000454639	4.53956567051	1.0	743.81959904	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	10	1	sound	left			1	left	-184.248300925	13.4514895371	1.0	666.764277499	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	11	1	sound	right			1	right	188.17998523	9.23258643656	1.0	610.521956813	 	go	1
SPC_325	2015_Apr_16_1622	LL-Kramer	NS	cueing_effect	12	0					1	right	186.067420392	15.6660060358	1.0	678.888590541	 	go	1
