subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC109,SPC,DZ,word_arrow,0,0,mask,visual_word,invalid,left,right,1120.31624606,right,1
SPC109,SPC,DZ,word_arrow,0,1,mask,visual_word,valid,left,left,1284.43448618,left,1
SPC109,SPC,DZ,word_arrow,0,2,mask,visual_arrow,valid,right,right,961.540579097,right,1
SPC109,SPC,DZ,word_arrow,0,3,mask,visual_word,neutral,neutral,left,638.660755707,left,1
SPC109,SPC,DZ,word_arrow,0,4,mask,visual_word,valid,left,left,685.068898834,left,1
SPC109,SPC,DZ,word_arrow,0,5,mask,visual_word,valid,right,right,682.81868659,right,1
SPC109,SPC,DZ,word_arrow,0,6,mask,visual_arrow,valid,left,left,640.560792526,left,1
SPC109,SPC,DZ,word_arrow,0,7,mask,visual_arrow,invalid,right,left,673.662916292,left,1
SPC109,SPC,DZ,word_arrow,0,8,mask,visual_arrow,neutral,neutral,left,607.707696501,left,1
SPC109,SPC,DZ,word_arrow,0,9,mask,visual_arrow,neutral,neutral,right,568.501832429,right,1
SPC109,SPC,DZ,word_arrow,0,10,mask,visual_word,neutral,neutral,right,533.556967508,right,1
SPC109,SPC,DZ,word_arrow,0,11,mask,visual_arrow,invalid,left,right,627.640158171,right,1
SPC109,SPC,DZ,word_arrow,0,12,mask,visual_arrow,valid,right,right,578.785909805,right,1
SPC109,SPC,DZ,word_arrow,0,13,mask,visual_word,valid,right,right,478.819839074,right,1
SPC109,SPC,DZ,word_arrow,0,14,mask,visual_word,invalid,right,left,509.58724774,left,1
SPC109,SPC,DZ,word_arrow,0,15,mask,visual_arrow,valid,left,left,538.662036066,left,1
SPC109,SPC,DZ,word_arrow,1,16,mask,visual_arrow,valid,left,left,714.330297895,left,1
SPC109,SPC,DZ,word_arrow,1,17,mask,visual_word,invalid,right,left,566.132228007,left,1
SPC109,SPC,DZ,word_arrow,1,18,mask,visual_word,neutral,neutral,left,586.52017347,left,1
SPC109,SPC,DZ,word_arrow,1,19,mask,visual_arrow,invalid,left,right,541.254101205,right,1
