subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
P216,SPC,JR,word_arrow,0,0,mask,visual_word,valid,right,right,2116.71761418,timeout,0
P216,SPC,JR,word_arrow,0,1,mask,visual_word,valid,left,left,595.899338368,left,1
P216,SPC,JR,word_arrow,0,2,mask,visual_arrow,valid,left,left,424.180491827,left,1
P216,SPC,JR,word_arrow,0,3,mask,visual_word,valid,right,right,447.485539946,right,1
P216,SPC,JR,word_arrow,0,4,mask,visual_arrow,valid,right,right,383.08489084,right,1
P216,SPC,JR,word_arrow,0,5,mask,visual_arrow,valid,left,left,467.376837682,left,1
P216,SPC,JR,word_arrow,0,6,mask,visual_arrow,invalid,right,down,602.647137013,down,1
P216,SPC,JR,word_arrow,0,7,mask,visual_word,valid,left,left,410.63784156,left,1
P216,SPC,JR,word_arrow,0,8,mask,visual_arrow,neutral,neutral,left,468.276608211,left,1
P216,SPC,JR,word_arrow,0,9,mask,visual_arrow,neutral,neutral,right,649.527708534,right,1
P216,SPC,JR,word_arrow,0,10,mask,visual_word,valid,right,right,370.132804965,right,1
P216,SPC,JR,word_arrow,0,11,mask,visual_arrow,valid,right,right,339.410651883,right,1
P216,SPC,JR,word_arrow,0,12,mask,visual_arrow,valid,left,left,329.052888323,left,1
P216,SPC,JR,word_arrow,0,13,mask,visual_arrow,valid,left,left,396.66243078,left,1
P216,SPC,JR,word_arrow,0,14,mask,visual_arrow,valid,right,right,591.280772525,right,1
P216,SPC,JR,word_arrow,1,15,mask,visual_word,valid,left,left,362.74802906,left,1
P216,SPC,JR,word_arrow,1,16,mask,visual_word,valid,right,right,334.711103584,right,1
P216,SPC,JR,word_arrow,1,17,mask,visual_arrow,invalid,left,up,467.350910476,up,1
P216,SPC,JR,word_arrow,1,18,mask,visual_arrow,valid,right,right,444.292971166,right,1
P216,SPC,JR,word_arrow,1,19,mask,visual_arrow,valid,right,right,515.919632046,right,1
P216,SPC,JR,word_arrow,1,20,mask,visual_arrow,valid,left,left,353.517299227,left,1
P216,SPC,JR,word_arrow,1,21,mask,visual_arrow,valid,left,left,347.807229497,left,1
P216,SPC,JR,word_arrow,1,22,mask,visual_arrow,invalid,right,left,440.748624387,left,1
P216,SPC,JR,word_arrow,1,23,mask,visual_word,invalid,left,right,401.691030827,right,1
P216,SPC,JR,word_arrow,1,24,mask,visual_word,valid,left,left,379.681383318,left,1
P216,SPC,JR,word_arrow,1,25,mask,visual_word,valid,left,left,384.274662065,left,1
P216,SPC,JR,word_arrow,1,26,mask,visual_arrow,invalid,left,right,692.27560953,right,1
P216,SPC,JR,word_arrow,1,27,mask,visual_word,valid,left,left,339.858136547,left,1
P216,SPC,JR,word_arrow,1,28,mask,visual_arrow,invalid,left,up,578.471446468,right,0
P216,SPC,JR,word_arrow,1,29,mask,visual_arrow,valid,left,left,380.799454579,left,1
P216,SPC,JR,word_arrow,1,30,mask,visual_word,valid,right,right,342.422370391,right,1
P216,SPC,JR,word_arrow,1,31,mask,visual_word,valid,left,left,433.67305462,left,1
P216,SPC,JR,word_arrow,1,32,mask,visual_word,valid,right,right,306.644729921,right,1
P216,SPC,JR,word_arrow,1,33,mask,visual_word,invalid,right,left,394.276806677,left,1
P216,SPC,JR,word_arrow,1,34,mask,visual_word,valid,left,left,363.890107023,left,1
P216,SPC,JR,word_arrow,1,35,mask,visual_arrow,neutral,neutral,right,384.189198259,right,1
P216,SPC,JR,word_arrow,1,36,mask,visual_word,neutral,neutral,left,385.138582555,left,1
P216,SPC,JR,word_arrow,1,37,mask,visual_arrow,neutral,neutral,left,330.870674399,left,1
P216,SPC,JR,word_arrow,1,38,mask,visual_arrow,valid,right,right,302.0841002,right,1
P216,SPC,JR,word_arrow,1,39,mask,visual_arrow,valid,right,right,365.224558511,right,1
P216,SPC,JR,word_arrow,1,40,mask,visual_word,valid,right,right,287.971371203,right,1
P216,SPC,JR,word_arrow,1,41,mask,visual_arrow,valid,left,left,328.297157947,left,1
P216,SPC,JR,word_arrow,1,42,mask,visual_word,valid,right,right,334.545297432,right,1
P216,SPC,JR,word_arrow,1,43,mask,visual_arrow,valid,right,right,293.147212185,right,1
P216,SPC,JR,word_arrow,1,44,mask,visual_arrow,neutral,neutral,left,345.470258908,left,1
P216,SPC,JR,word_arrow,1,45,mask,visual_arrow,invalid,right,left,716.063672095,right,0
P216,SPC,JR,word_arrow,1,46,mask,visual_word,invalid,left,right,367.721893766,right,1
P216,SPC,JR,word_arrow,1,47,mask,visual_arrow,invalid,right,left,441.662158759,left,1
P216,SPC,JR,word_arrow,1,48,mask,visual_arrow,valid,right,right,314.622630947,right,1
P216,SPC,JR,word_arrow,1,49,mask,visual_arrow,valid,right,right,423.901054019,right,1
P216,SPC,JR,word_arrow,1,50,mask,visual_arrow,valid,right,right,537.207798625,right,1
P216,SPC,JR,word_arrow,1,51,mask,visual_arrow,valid,left,left,463.452225085,left,1
P216,SPC,JR,word_arrow,1,52,mask,visual_word,valid,left,left,400.122274004,left,1
P216,SPC,JR,word_arrow,1,53,mask,visual_word,valid,left,left,457.375013211,left,1
P216,SPC,JR,word_arrow,1,54,mask,visual_word,valid,right,right,386.677571048,up,0
P216,SPC,JR,word_arrow,1,55,mask,visual_word,invalid,right,left,131.96601934,right,0
P216,SPC,JR,word_arrow,1,56,mask,visual_arrow,valid,left,left,672.912778915,left,1
P216,SPC,JR,word_arrow,1,57,mask,visual_arrow,invalid,left,right,417.888820288,right,1
P216,SPC,JR,word_arrow,1,58,mask,visual_arrow,valid,right,right,436.824972101,right,1
P216,SPC,JR,word_arrow,1,59,mask,visual_word,valid,right,right,340.772311029,right,1
P216,SPC,JR,word_arrow,1,60,mask,visual_arrow,neutral,neutral,right,367.412367603,right,1
P216,SPC,JR,word_arrow,1,61,mask,visual_word,invalid,left,right,545.369430853,right,1
P216,SPC,JR,word_arrow,1,62,mask,visual_word,valid,left,left,350.326971035,left,1
P216,SPC,JR,word_arrow,1,63,mask,visual_arrow,invalid,right,up,376.924135664,right,0
P216,SPC,JR,word_arrow,1,64,mask,visual_arrow,invalid,right,left,378.889482818,left,1
P216,SPC,JR,word_arrow,1,65,mask,visual_word,valid,right,right,318.487386859,right,1
P216,SPC,JR,word_arrow,1,66,mask,visual_arrow,valid,right,right,379.805257777,right,1
P216,SPC,JR,word_arrow,1,67,mask,visual_arrow,valid,left,left,512.089765747,left,1
P216,SPC,JR,word_arrow,1,68,mask,visual_word,invalid,left,right,444.042981602,right,1
P216,SPC,JR,word_arrow,1,69,mask,visual_word,valid,left,left,627.331449126,left,1
P216,SPC,JR,word_arrow,1,70,mask,visual_arrow,invalid,right,up,579.284472798,up,1
P216,SPC,JR,word_arrow,1,71,mask,visual_word,valid,left,left,453.232099826,left,1
P216,SPC,JR,word_arrow,1,72,mask,visual_arrow,valid,right,right,326.850355137,right,1
P216,SPC,JR,word_arrow,1,73,mask,visual_word,invalid,left,down,461.815929506,down,1
P216,SPC,JR,word_arrow,1,74,mask,visual_word,invalid,left,right,477.127072169,right,1
P216,SPC,JR,word_arrow,1,75,mask,visual_arrow,valid,right,right,373.060660088,right,1
P216,SPC,JR,word_arrow,1,76,mask,visual_arrow,valid,left,left,344.373953703,left,1
P216,SPC,JR,word_arrow,1,77,mask,visual_word,invalid,right,down,747.982638364,down,1
P216,SPC,JR,word_arrow,1,78,mask,visual_word,valid,right,right,446.264720114,right,1
P216,SPC,JR,word_arrow,1,79,mask,visual_word,neutral,neutral,left,444.874573092,left,1
P216,SPC,JR,word_arrow,1,80,mask,visual_arrow,invalid,left,up,283.844462305,left,0
P216,SPC,JR,word_arrow,1,81,mask,visual_word,valid,left,left,410.139782936,left,1
P216,SPC,JR,word_arrow,1,82,mask,visual_word,valid,right,right,332.418945443,right,1
P216,SPC,JR,word_arrow,1,83,mask,visual_arrow,valid,right,right,385.014067928,right,1
P216,SPC,JR,word_arrow,1,84,mask,visual_arrow,valid,left,left,338.995496393,left,1
P216,SPC,JR,word_arrow,1,85,mask,visual_word,neutral,neutral,right,439.965686412,right,1
P216,SPC,JR,word_arrow,1,86,mask,visual_arrow,valid,left,left,514.229561551,left,1
P216,SPC,JR,word_arrow,1,87,mask,visual_arrow,valid,right,right,359.170393029,right,1
P216,SPC,JR,word_arrow,1,88,mask,visual_arrow,invalid,left,down,540.486791579,down,1
P216,SPC,JR,word_arrow,1,89,mask,visual_word,invalid,left,down,625.765253033,down,1
P216,SPC,JR,word_arrow,1,90,mask,visual_arrow,valid,right,right,387.058157008,right,1
P216,SPC,JR,word_arrow,1,91,mask,visual_word,neutral,neutral,right,420.980881026,right,1
P216,SPC,JR,word_arrow,1,92,mask,visual_word,neutral,neutral,right,367.954598565,right,1
P216,SPC,JR,word_arrow,1,93,mask,visual_arrow,valid,right,right,396.246955148,right,1
P216,SPC,JR,word_arrow,1,94,mask,visual_arrow,valid,left,left,468.521476374,left,1
P216,SPC,JR,word_arrow,1,95,mask,visual_word,valid,right,right,441.81003992,right,1
P216,SPC,JR,word_arrow,1,96,mask,visual_word,valid,left,left,371.443889977,left,1
P216,SPC,JR,word_arrow,1,97,mask,visual_word,neutral,neutral,right,544.07274985,right,1
P216,SPC,JR,word_arrow,1,98,mask,visual_arrow,valid,left,left,446.348263358,left,1
P216,SPC,JR,word_arrow,1,99,mask,visual_arrow,valid,left,left,550.315447792,left,1
P216,SPC,JR,word_arrow,1,100,mask,visual_arrow,valid,left,left,450.280558143,left,1
P216,SPC,JR,word_arrow,1,101,mask,visual_word,valid,left,left,474.897971551,up,0
