subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC2120,SPC,NS,visual_auditory,0,0,mask,auditory_word,invalid,left,up,2116.68272445,timeout,0
SPC2120,SPC,NS,visual_auditory,0,1,mask,auditory_word,valid,left,left,175.158204045,left,1
SPC2120,SPC,NS,visual_auditory,0,2,mask,auditory_word,valid,left,left,1737.44178377,left,1
SPC2120,SPC,NS,visual_auditory,0,3,mask,auditory_word,valid,left,left,1446.01280999,left,1
SPC2120,SPC,NS,visual_auditory,0,4,mask,auditory_word,valid,left,left,820.307093498,left,1
SPC2120,SPC,NS,visual_auditory,0,5,mask,auditory_word,valid,right,right,286.602029984,right,1
SPC2120,SPC,NS,visual_auditory,0,6,mask,visual_word,valid,left,left,418.871813919,left,1
SPC2120,SPC,NS,visual_auditory,0,7,mask,visual_word,valid,left,left,2116.7160137,timeout,0
SPC2120,SPC,NS,visual_auditory,0,8,mask,auditory_word,valid,left,left,619.733813917,left,1
SPC2120,SPC,NS,visual_auditory,0,9,mask,visual_word,valid,left,left,422.967994295,left,1
SPC2120,SPC,NS,visual_auditory,0,10,mask,visual_word,neutral,neutral,right,310.969133803,left,0
SPC2120,SPC,NS,visual_auditory,0,11,mask,visual_word,invalid,left,down,213.241766498,left,0
SPC2120,SPC,NS,visual_auditory,0,12,mask,auditory_word,invalid,right,down,607.207446534,right,0
SPC2120,SPC,NS,visual_auditory,0,13,mask,auditory_word,invalid,right,up,433.859986602,right,0
SPC2120,SPC,NS,visual_auditory,0,14,mask,visual_word,valid,right,right,970.442331163,right,1
SPC2120,SPC,NS,visual_auditory,1,15,mask,auditory_word,valid,left,left,243.98760614,left,1
SPC2120,SPC,NS,visual_auditory,1,16,mask,auditory_word,valid,right,right,251.952383551,right,1
SPC2120,SPC,NS,visual_auditory,1,17,mask,auditory_word,valid,right,right,306.56310718,right,1
SPC2120,SPC,NS,visual_auditory,1,18,mask,auditory_word,valid,right,right,362.204517762,right,1
SPC2120,SPC,NS,visual_auditory,1,19,mask,visual_word,valid,left,left,891.801877646,left,1
SPC2120,SPC,NS,visual_auditory,1,20,mask,visual_word,valid,right,right,315.772711125,right,1
SPC2120,SPC,NS,visual_auditory,1,21,mask,auditory_word,invalid,left,right,175.38706772,left,0
SPC2120,SPC,NS,visual_auditory,1,22,mask,visual_word,valid,right,right,305.014195968,right,1
SPC2120,SPC,NS,visual_auditory,1,23,mask,auditory_word,valid,right,right,406.617202214,right,1
SPC2120,SPC,NS,visual_auditory,1,24,mask,visual_word,invalid,right,down,656.582792639,down,1
SPC2120,SPC,NS,visual_auditory,1,25,mask,auditory_word,valid,right,right,297.223226982,right,1
SPC2120,SPC,NS,visual_auditory,1,26,mask,auditory_word,invalid,right,left,165.52544228,right,0
SPC2120,SPC,NS,visual_auditory,1,27,mask,visual_word,invalid,left,down,759.48792143,down,1
SPC2120,SPC,NS,visual_auditory,1,28,mask,visual_word,valid,left,left,140.418292431,left,1
SPC2120,SPC,NS,visual_auditory,1,29,mask,auditory_word,valid,right,right,359.071165381,right,1
SPC2120,SPC,NS,visual_auditory,1,30,mask,visual_word,valid,right,right,372.362225666,right,1
SPC2120,SPC,NS,visual_auditory,1,31,mask,auditory_word,valid,left,left,328.96422362,left,1
SPC2120,SPC,NS,visual_auditory,1,32,mask,auditory_word,invalid,right,down,332.239695534,right,0
SPC2120,SPC,NS,visual_auditory,1,33,mask,auditory_word,valid,left,left,337.870063027,left,1
SPC2120,SPC,NS,visual_auditory,1,34,mask,visual_word,neutral,neutral,right,392.19046582,right,1
SPC2120,SPC,NS,visual_auditory,1,35,mask,auditory_word,valid,right,right,313.786558167,right,1
SPC2120,SPC,NS,visual_auditory,1,36,mask,auditory_word,neutral,neutral,left,1703.38206156,down,0
SPC2120,SPC,NS,visual_auditory,1,37,mask,auditory_word,valid,left,left,287.368963531,left,1
SPC2120,SPC,NS,visual_auditory,1,38,mask,visual_word,valid,right,right,877.306001959,right,1
SPC2120,SPC,NS,visual_auditory,1,39,mask,visual_word,valid,left,left,427.564153855,left,1
SPC2120,SPC,NS,visual_auditory,1,40,mask,visual_word,valid,left,left,355.862592172,left,1
SPC2120,SPC,NS,visual_auditory,1,41,mask,auditory_word,valid,right,right,329.842868261,right,1
SPC2120,SPC,NS,visual_auditory,1,42,mask,visual_word,neutral,neutral,right,406.097057392,right,1
SPC2120,SPC,NS,visual_auditory,1,43,mask,visual_word,invalid,left,right,487.04247264,right,1
SPC2120,SPC,NS,visual_auditory,1,44,mask,auditory_word,valid,right,right,311.006264179,right,1
SPC2120,SPC,NS,visual_auditory,1,45,mask,visual_word,valid,right,right,140.665401239,right,1
SPC2120,SPC,NS,visual_auditory,1,46,mask,auditory_word,invalid,right,left,423.935623665,left,1
SPC2120,SPC,NS,visual_auditory,1,47,mask,visual_word,invalid,left,right,407.913563133,right,1
SPC2120,SPC,NS,visual_auditory,1,48,mask,auditory_word,valid,left,left,424.853319186,left,1
SPC2120,SPC,NS,visual_auditory,1,49,mask,auditory_word,valid,right,right,417.811038555,right,1
SPC2120,SPC,NS,visual_auditory,1,50,mask,visual_word,invalid,left,right,410.774839693,right,1
SPC2120,SPC,NS,visual_auditory,1,51,mask,auditory_word,valid,right,right,405.704948294,right,1
SPC2120,SPC,NS,visual_auditory,1,52,mask,visual_word,valid,right,right,334.345561801,right,1
SPC2120,SPC,NS,visual_auditory,1,53,mask,auditory_word,invalid,left,up,786.637559882,left,0
SPC2120,SPC,NS,visual_auditory,1,54,mask,auditory_word,valid,left,left,333.584389882,left,1
SPC2120,SPC,NS,visual_auditory,1,55,mask,visual_word,valid,left,left,396.207904269,left,1
