subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC218a,SPC,NS,visual_auditory,0,0,mask,auditory_word,neutral,neutral,right,789.190659765,right,1
SPC218a,SPC,NS,visual_auditory,0,1,mask,auditory_word,valid,left,left,1342.28574159,right,0
SPC218a,SPC,NS,visual_auditory,0,2,mask,auditory_word,invalid,right,down,1025.40050889,down,1
SPC218a,SPC,NS,visual_auditory,0,3,mask,visual_word,valid,left,left,699.174495414,left,1
SPC218a,SPC,NS,visual_auditory,0,4,mask,visual_word,valid,left,left,737.611190416,left,1
SPC218a,SPC,NS,visual_auditory,0,5,mask,auditory_word,valid,left,left,620.706111891,left,1
SPC218a,SPC,NS,visual_auditory,0,6,mask,visual_word,valid,left,left,550.132355886,left,1
SPC218a,SPC,NS,visual_auditory,0,7,mask,visual_word,valid,left,left,504.206584301,left,1
SPC218a,SPC,NS,visual_auditory,0,8,mask,auditory_word,valid,left,left,477.277339436,left,1
SPC218a,SPC,NS,visual_auditory,0,9,mask,visual_word,invalid,right,up,637.335915584,up,1
SPC218a,SPC,NS,visual_auditory,0,10,mask,auditory_word,valid,right,right,485.769249266,right,1
SPC218a,SPC,NS,visual_auditory,0,11,mask,visual_word,invalid,left,up,646.53105638,up,1
SPC218a,SPC,NS,visual_auditory,0,12,mask,auditory_word,valid,left,left,584.941183915,left,1
SPC218a,SPC,NS,visual_auditory,0,13,mask,visual_word,neutral,neutral,right,683.671718696,right,1
SPC218a,SPC,NS,visual_auditory,0,14,mask,visual_word,valid,right,right,465.434438083,right,1
SPC218a,SPC,NS,visual_auditory,1,15,mask,visual_word,valid,left,left,508.397483965,left,1
SPC218a,SPC,NS,visual_auditory,1,16,mask,visual_word,valid,right,right,587.07392402,right,1
SPC218a,SPC,NS,visual_auditory,1,17,mask,visual_word,valid,left,left,515.233583516,left,1
SPC218a,SPC,NS,visual_auditory,1,18,mask,auditory_word,neutral,neutral,left,537.324392237,left,1
SPC218a,SPC,NS,visual_auditory,1,19,mask,auditory_word,invalid,left,right,445.068578701,right,1
SPC218a,SPC,NS,visual_auditory,1,20,mask,auditory_word,neutral,neutral,left,453.800553689,left,1
SPC218a,SPC,NS,visual_auditory,1,21,mask,auditory_word,valid,right,right,493.931149133,right,1
SPC218a,SPC,NS,visual_auditory,1,22,mask,visual_word,invalid,left,right,412.338396069,right,1
SPC218a,SPC,NS,visual_auditory,1,23,mask,auditory_word,invalid,right,down,647.393691121,down,1
SPC218a,SPC,NS,visual_auditory,1,24,mask,visual_word,invalid,left,right,413.816238055,right,1
SPC218a,SPC,NS,visual_auditory,1,25,mask,auditory_word,valid,right,right,409.242513822,right,1
SPC218a,SPC,NS,visual_auditory,1,26,mask,visual_word,valid,right,right,404.975113226,right,1
SPC218a,SPC,NS,visual_auditory,1,27,mask,visual_word,valid,left,left,494.706080062,left,1
SPC218a,SPC,NS,visual_auditory,1,28,mask,auditory_word,valid,right,right,467.126418371,right,1
SPC218a,SPC,NS,visual_auditory,1,29,mask,auditory_word,valid,left,left,425.556071335,left,1
SPC218a,SPC,NS,visual_auditory,1,30,mask,visual_word,valid,right,right,388.270409545,right,1
SPC218a,SPC,NS,visual_auditory,1,31,mask,visual_word,invalid,right,down,502.039274666,down,1
SPC218a,SPC,NS,visual_auditory,1,32,mask,visual_word,valid,left,left,518.109245691,left,1
SPC218a,SPC,NS,visual_auditory,1,33,mask,visual_word,valid,left,left,572.170990519,left,1
SPC218a,SPC,NS,visual_auditory,1,34,mask,auditory_word,valid,right,right,465.589360334,right,1
SPC218a,SPC,NS,visual_auditory,1,35,mask,visual_word,valid,right,right,472.681849496,right,1
SPC218a,SPC,NS,visual_auditory,1,36,mask,visual_word,valid,right,right,416.78600572,right,1
SPC218a,SPC,NS,visual_auditory,1,37,mask,visual_word,invalid,left,up,648.861610331,up,1
SPC218a,SPC,NS,visual_auditory,1,38,mask,auditory_word,invalid,right,left,578.571131453,left,1
SPC218a,SPC,NS,visual_auditory,1,39,mask,auditory_word,invalid,right,up,628.661235794,up,1
