subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	0	0					False	0					0.083	1083.03521822		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	1	0					False	1	left	-218.389211748	-15.0603466365	0.6	0.083	517.638451623	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	2	0					False	1	left	-191.222065499	-7.89486358847	0.6	0.083	353.117419159	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	3	0					False	1	right	192.019087606	12.5580760131	0.6	0.083	302.335841101	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	4	0					False	1	left	-202.412810855	-14.3802618207	0.6	0.083	269.035573947	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	5	0					False	1	right	203.04403425	8.75413981077	0.6	0.083	291.067915241	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	6	0					False	1	left	-200.046034708	-16.8611231122	0.6	0.083	298.526691011	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	7	0					False	1	left	-201.039041637	-12.5628285117	0.6	0.083	284.300412008	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	8	0					False	1	right	203.982773444	-14.7939405372	0.6	0.083	335.497487031	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	practice	9	0					False	0					0.083	1082.60395216		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	0	1	frame	right	200	0	False	1	right	212.616407726	12.6069595904	0.6	0.083	462.424294659	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	1	1	frame	left	-200	0	False	0					0.083	1086.48131273		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	2	1	sound	right			False	1	right	215.222994748	-16.712011001	0.6	0.083	517.784407319	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	3	1	frame	right	200	0	False	1	right	187.648215672	-11.248422954	0.6	0.083	390.253973907	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	4	1	sound	left			False	1	left	-200.468116137	6.49018593122	0.6	0.083	443.970434804	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	5	0					False	1	left	-217.421020686	-13.1316750208	0.6	0.083	470.93703186	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	6	1	sound	right			False	1	right	206.287525738	15.4666032586	0.6	0.083	381.259362897	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	7	0					False	1	right	192.474808711	-11.4378072382	0.6	0.083	435.674797525	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	8	0					False	0					0.083	1085.32906957		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	9	1	frame	right	200	0	False	1	right	191.897943509	-6.40400994402	0.6	0.083	402.695412849	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	10	0					False	1	right	208.781094121	-22.1829277531	0.6	0.083	317.542370234	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	11	1	sound	left			False	1	left	-192.234158296	19.5242741567	0.6	0.083	355.431440243	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	12	1	sound	left			False	1	left	-219.137817077	14.685505995	0.6	0.083	314.483168331	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	13	0					False	1	left	-178.466569648	-7.61882487724	0.6	0.083	336.388990254	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	14	0					False	1	right	203.284973466	21.7198167194	0.6	0.083	285.202550192	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	15	1	frame	right	200	0	False	1	right	213.616410911	3.16509678256	0.6	0.083	278.621342179	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	16	0					False	1	left	-213.390314826	22.4306539919	0.6	0.083	296.194700495	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	17	1	sound	left			False	0					0.083	1085.49849552		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	18	0					False	1	right	176.182950897	-5.12889770091	0.6	0.083	394.957194279	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	19	1	frame	right	200	0	False	1	right	181.811304014	2.11949897981	0.6	0.083	517.966301835	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	20	1	frame	left	-200	0	False	1	left	-197.628923628	-20.9672193317	0.6	0.083	302.297701928	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	21	1	sound	right			False	1	right	199.053895739	-20.027977483	0.6	0.083	282.390519467	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	22	0					False	1	right	200.119865516	-23.532552477	0.6	0.083	351.6857332	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	23	1	frame	right	200	0	False	0					0.083	1084.45626922		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	24	1	frame	left	-200	0	False	1	left	-177.492772703	9.81768015182	0.6	0.083	355.650740516	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	25	1	frame	left	-200	0	False	1	left	-201.090504398	21.2098997533	0.6	0.083	382.617337556	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	26	1	frame	left	-200	0	False	1	left	-219.790747492	-10.5676180457	0.6	0.083	382.63347336	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	27	1	sound	left			False	1	left	-183.499583252	14.1790275335	0.6	0.083	354.82268034	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	28	0					False	0					0.083	1087.16855131		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	29	1	sound	left			False	0					0.083	1085.31330049		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	30	1	sound	right			False	0					0.083	1079.23890343		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	31	1	frame	left	-200	0	False	1	left	-196.980462233	-3.3103796726	0.6	0.083	428.150011649	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	32	0					False	1	right	210.905396221	-0.016263610925	0.6	0.083	314.718237671	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	33	0					False	1	left	-209.792339846	-6.30312684087	0.6	0.083	304.783349318	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	34	1	frame	left	-200	0	False	1	left	-185.589267167	19.385744406	0.6	0.083	285.957632514	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	35	0					False	1	left	-203.871306569	-8.42891064756	0.6	0.083	366.937002516	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	36	1	sound	left			False	1	left	-181.584617946	12.1067483676	0.6	0.083	369.452721177	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	37	1	sound	left			False	1	left	-177.986531402	-0.468682057174	0.6	0.083	316.697440823	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	38	0					False	1	left	-223.838843631	20.0224183266	0.6	0.083	494.258403924	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	39	1	frame	right	200	0	False	0					0.083	1080.55030429		nogo	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	40	0					False	1	right	200.412125234	0.711940191458	0.6	0.083	352.265155278	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	41	0					False	1	right	202.896863798	1.13746299541	0.6	0.083	419.165668878	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	42	1	sound	right			False	1	right	198.736664243	-4.50845147187	0.6	0.083	347.264155964	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	43	0					False	1	left	-205.746915217	-17.1183959258	0.6	0.083	425.440663326	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	44	1	frame	left	-200	0	False	1	left	-207.453713775	5.46538960978	0.6	0.083	312.001921629	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	45	1	sound	left			False	1	left	-200.933633417	-13.1530883007	0.6	0.083	314.208492942	 	go	1
SPC504a	2015_Apr_24_1320	LL-George	wr	cueing_effect	46	1	sound	left			False	1	left	-213.648726907	-16.558437137	0.6	0.083	306.78125532	 	go	1
