subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
P214,SPC,JR,word_arrow,0,0,mask,visual_arrow,invalid,right,down,2116.59683433,timeout,0
P214,SPC,JR,word_arrow,0,1,mask,visual_word,invalid,right,up,1060.13955796,right,0
P214,SPC,JR,word_arrow,0,2,mask,visual_arrow,valid,left,left,835.280316242,left,1
P214,SPC,JR,word_arrow,0,3,mask,visual_arrow,valid,left,left,659.666469262,left,1
P214,SPC,JR,word_arrow,0,4,mask,visual_word,valid,right,right,523.779908137,right,1
P214,SPC,JR,word_arrow,0,5,mask,visual_word,invalid,left,up,527.539010596,up,1
P214,SPC,JR,word_arrow,0,6,mask,visual_arrow,invalid,right,down,739.337739855,down,1
P214,SPC,JR,word_arrow,0,7,mask,visual_word,valid,left,left,1249.37599027,up,0
P214,SPC,JR,word_arrow,0,8,mask,visual_word,valid,left,left,543.508154224,left,1
P214,SPC,JR,word_arrow,0,9,mask,visual_word,valid,right,right,620.291919389,right,1
P214,SPC,JR,word_arrow,0,10,mask,visual_arrow,valid,left,left,597.034393344,left,1
P214,SPC,JR,word_arrow,0,11,mask,visual_word,neutral,neutral,left,520.195893274,left,1
P214,SPC,JR,word_arrow,0,12,mask,visual_arrow,valid,right,right,460.563673318,right,1
P214,SPC,JR,word_arrow,0,13,mask,visual_arrow,invalid,left,up,490.962341748,up,1
P214,SPC,JR,word_arrow,0,14,mask,visual_arrow,neutral,neutral,left,522.079285554,left,1
P214,SPC,JR,word_arrow,1,15,mask,visual_arrow,valid,right,right,477.630715555,right,1
P214,SPC,JR,word_arrow,1,16,mask,visual_arrow,valid,left,left,757.366643724,left,1
P214,SPC,JR,word_arrow,1,17,mask,visual_word,valid,right,right,536.841700959,right,1
P214,SPC,JR,word_arrow,1,18,mask,visual_word,valid,right,right,526.273706462,right,1
P214,SPC,JR,word_arrow,1,19,mask,visual_word,valid,left,left,457.704335597,left,1
P214,SPC,JR,word_arrow,1,20,mask,visual_arrow,valid,left,left,463.754301192,left,1
P214,SPC,JR,word_arrow,1,21,mask,visual_word,valid,right,right,553.181185271,right,1
P214,SPC,JR,word_arrow,1,22,mask,visual_word,valid,right,right,562.923035061,right,1
P214,SPC,JR,word_arrow,1,23,mask,visual_arrow,valid,left,left,582.713698124,left,1
P214,SPC,JR,word_arrow,1,24,mask,visual_arrow,valid,right,right,426.113983005,right,1
P214,SPC,JR,word_arrow,1,25,mask,visual_word,invalid,right,down,577.525726985,down,1
P214,SPC,JR,word_arrow,1,26,mask,visual_arrow,valid,left,left,534.271401819,left,1
P214,SPC,JR,word_arrow,1,27,mask,visual_arrow,valid,left,left,539.058623952,left,1
P214,SPC,JR,word_arrow,1,28,mask,visual_arrow,invalid,left,up,574.162252131,up,1
P214,SPC,JR,word_arrow,1,29,mask,visual_arrow,invalid,right,left,544.905974413,left,1
P214,SPC,JR,word_arrow,1,30,mask,visual_word,neutral,neutral,right,547.989693179,right,1
P214,SPC,JR,word_arrow,1,31,mask,visual_word,valid,left,left,464.390954323,left,1
