subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC202,SPC,NS,word_arrow,0,0,mask,visual_word,valid,right,right,2141.61739993,timeout,0
SPC202,SPC,NS,word_arrow,0,1,mask,visual_word,valid,right,right,240.908086998,down,0
SPC202,SPC,NS,word_arrow,0,2,mask,visual_word,valid,left,left,586.652689526,left,1
SPC202,SPC,NS,word_arrow,0,3,mask,visual_arrow,invalid,left,down,2116.63588494,timeout,0
SPC202,SPC,NS,word_arrow,0,4,mask,visual_word,invalid,right,up,207.722420484,down,0
SPC202,SPC,NS,word_arrow,0,5,mask,visual_arrow,valid,right,right,2116.61699982,timeout,0
SPC202,SPC,NS,word_arrow,0,6,mask,visual_arrow,valid,right,right,358.346110152,right,1
SPC202,SPC,NS,word_arrow,0,7,mask,visual_word,valid,left,left,354.772978229,left,1
SPC202,SPC,NS,word_arrow,0,8,mask,visual_arrow,invalid,right,down,821.86354688,right,0
SPC202,SPC,NS,word_arrow,0,9,mask,visual_word,valid,right,right,517.29366387,right,1
SPC202,SPC,NS,word_arrow,0,10,mask,visual_word,invalid,left,down,2116.63044349,timeout,0
SPC202,SPC,NS,word_arrow,0,11,mask,visual_word,valid,right,right,2024.37494998,right,1
SPC202,SPC,NS,word_arrow,0,12,mask,visual_word,invalid,left,down,385.540707066,down,1
SPC202,SPC,NS,word_arrow,0,13,mask,visual_arrow,valid,left,left,404.936382722,left,1
SPC202,SPC,NS,word_arrow,0,14,mask,visual_arrow,valid,left,left,2116.60803738,timeout,0
SPC202,SPC,NS,word_arrow,1,15,mask,visual_arrow,valid,right,right,403.186786803,right,1
SPC202,SPC,NS,word_arrow,1,16,mask,visual_word,valid,right,right,475.607125147,right,1
SPC202,SPC,NS,word_arrow,1,17,mask,visual_arrow,valid,right,right,809.063265217,right,1
SPC202,SPC,NS,word_arrow,1,18,mask,visual_arrow,valid,left,left,287.479794526,left,1
SPC202,SPC,NS,word_arrow,1,19,mask,visual_arrow,valid,right,right,2116.6147592,timeout,0
SPC202,SPC,NS,word_arrow,1,20,mask,visual_word,invalid,right,left,174.442968477,left,1
SPC202,SPC,NS,word_arrow,1,21,mask,visual_word,valid,right,right,2116.60611688,timeout,0
SPC202,SPC,NS,word_arrow,1,22,mask,visual_arrow,valid,right,right,2116.65573035,timeout,0
SPC202,SPC,NS,word_arrow,1,23,mask,visual_word,valid,right,right,1297.28118048,right,1
SPC202,SPC,NS,word_arrow,1,24,mask,visual_arrow,valid,left,left,136.120224692,left,1
SPC202,SPC,NS,word_arrow,1,25,mask,visual_arrow,valid,right,right,1091.14959271,right,1
SPC202,SPC,NS,word_arrow,1,26,mask,visual_arrow,valid,right,right,161.291551311,right,1
SPC202,SPC,NS,word_arrow,1,27,mask,visual_word,valid,left,left,252.98209113,left,1
SPC202,SPC,NS,word_arrow,1,28,mask,visual_word,valid,left,left,898.767024628,left,1
SPC202,SPC,NS,word_arrow,1,29,mask,visual_word,valid,right,right,248.834723054,right,1
SPC202,SPC,NS,word_arrow,1,30,mask,visual_arrow,valid,right,right,1768.61450315,right,1
SPC202,SPC,NS,word_arrow,1,31,mask,visual_word,valid,right,right,171.760318801,right,1
SPC202,SPC,NS,word_arrow,1,32,mask,visual_word,valid,right,right,2004.80610726,right,1
SPC202,SPC,NS,word_arrow,1,33,mask,visual_arrow,valid,left,left,261.93268568,left,1
SPC202,SPC,NS,word_arrow,1,34,mask,visual_word,invalid,right,left,246.396299801,right,0
SPC202,SPC,NS,word_arrow,1,35,mask,visual_word,invalid,right,down,252.803482552,right,0
SPC202,SPC,NS,word_arrow,1,36,mask,visual_arrow,valid,right,right,213.882496057,right,1
SPC202,SPC,NS,word_arrow,1,37,mask,visual_arrow,invalid,left,down,165.960021142,left,0
SPC202,SPC,NS,word_arrow,1,38,mask,visual_word,neutral,neutral,left,655.715954752,left,1
SPC202,SPC,NS,word_arrow,1,39,mask,visual_arrow,valid,right,right,205.840948736,right,1
SPC202,SPC,NS,word_arrow,1,40,mask,visual_arrow,invalid,left,right,271.90851912,left,0
SPC202,SPC,NS,word_arrow,1,41,mask,visual_word,valid,left,left,369.003729022,left,1
SPC202,SPC,NS,word_arrow,1,42,mask,visual_arrow,invalid,right,up,1645.364019,right,0
SPC202,SPC,NS,word_arrow,1,43,mask,visual_arrow,valid,right,right,555.871196964,right,1
SPC202,SPC,NS,word_arrow,1,44,mask,visual_arrow,valid,left,left,2116.62372164,timeout,0
SPC202,SPC,NS,word_arrow,1,45,mask,visual_word,invalid,right,left,1146.42382727,down,0
SPC202,SPC,NS,word_arrow,1,46,mask,visual_word,valid,right,right,1380.18725094,right,1
