subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC416	2015_Apr_24_1201	LL-George	wr	practice	0	0					False	0					0.083	1085.95873268		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	1	0					False	0					0.083	1085.74970067		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	2	0					False	1	left	-203.361928889	-19.4981503132	0.6	0.083	1085.21208499		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	3	0					False	1	right	181.763631245	2.04865548491	0.6	0.083	1078.6701163		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	4	0					False	1	right	176.329832243	-14.3035613106	0.6	0.083	1086.03794481		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	5	0					False	1	right	207.28752921	18.0569609609	0.6	0.083	1085.99687186		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	6	0					False	1	left	-193.414970375	14.0211916009	0.6	0.083	725.022049213	 	go	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	7	0					False	0					0.083	739.026094161	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	8	0					False	1	right	207.682283929	2.07383112471	0.6	0.083	416.402045579	 	go	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	9	0					False	1	right	195.256512486	22.9620746466	0.6	0.083	332.803907804	 	go	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	0	0					False	1	left	-217.773339328	18.9576251626	0.6	0.083	1087.26756649		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	1	0					False	0					0.083	1085.35840741		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	2	0					False	1	left	-189.906606022	-14.684725871	0.6	0.083	1080.82387953		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	3	0					False	1	right	182.306573835	16.3298688542	0.6	0.083	1085.30156537		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	4	0					False	0					0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	5	0					False	1	left	-184.110411389	11.8103085251	0.6	0.083	1079.12815313		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	6	0					False	1	left	-192.791898366	-18.9305917999	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	7	0					False	1	left	-182.880072757	-7.23684797268	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	8	0					False	1	right	212.221297329	-17.2496046732	0.6	0.083	1085.25975895		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	9	0					False	1	right	199.169708038	-9.86593835285	0.6	0.083	1085.7856395		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	0	0					False	1	left	-204.753853674	18.3139055068	0.6	0.083	1082.36521561		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	1	0					False	1	left	-178.043342418	9.93178805575	0.6	0.083	1079.38082518		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	2	0					False	1	right	206.137655529	5.53037222632	0.6	0.083	1082.79061411		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	3	0					False	0					0.083	1085.75630168		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	4	0					False	1	left	-215.613584391	-5.15663985237	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	5	0					False	0					0.083	1085.29826486		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	6	0					False	0					0.083	1083.70375396		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	7	0					False	1	right	196.950595195	5.81101357672	0.6	0.083	1081.25331196		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	8	0					False	1	left	-207.562343874	-19.4195402607	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	9	0					False	1	right	216.18069667	19.845834301	0.6	0.083	1083.74629381		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	0	0					False	1	left	-201.92459473	-22.6955449915	0.6	0.083	1085.21941944		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	1	0					False	1	left	-190.99463659	-9.16660756244	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	2	0					False	1	right	221.10963443	-0.127714103338	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	3	0					False	1	left	-217.81223895	1.49734254945	0.6	0.083	1080.68892553		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	4	0					False	1	right	205.176417139	-2.52496953794	0.6	0.083	1087.98487636		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	5	0					False	1	left	-194.952011083	11.5774902483	0.6	0.083	39.2312755866	 	go	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	6	0					False	1	right	210.145175344	-8.60407987382	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	7	0					False	1	right	181.142540951	8.93909399885	0.6	0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	8	0					False	0					0.083	0.0	 	go	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	9	0					False	1	right	187.903363803	12.1854146825	0.6	0.083	1083.0187157		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	0	0					False	0					0.083	1086.02510951		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	1	0					False	1	left	-214.828581354	5.77602272706	0.6	0.083	1085.95066477		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	2	0					False	1	right	203.735658099	-11.4068480452	0.6	0.083	1085.95469873		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	3	0					False	0					0.083	1085.37160941		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	4	0					False	1	left	-215.508785685	9.51023127545	0.6	0.083	1081.21994018		nogo	0
SPC416	2015_Apr_24_1201	LL-George	wr	practice	5	0					False	0					0.083	1085.69212518		nogo	1
SPC416	2015_Apr_24_1201	LL-George	wr	practice	6	0					False	1	left	-205.18160954	18.7632109966	0.6	0.083	336.231299429	 	go	1
