subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	0	0					False	1	left	-192.870200343	7.91468152599	0.6	0.083	439.465431191	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	1	0					False	1	left	-200.117525501	-23.4757062066	0.6	0.083	346.749153585	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	2	0					False	1	left	-177.172167633	14.3417404758	0.6	0.083	307.738138639	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	3	0					False	0					0.083	1078.67944003		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	4	0					False	1	right	198.37097531	21.1773180717	0.6	0.083	316.345298634	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	5	0					False	0					0.083	1087.16377428		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	6	0					False	1	left	-191.812689941	18.2913112514	0.6	0.083	335.003893386	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	7	0					False	1	right	220.125684131	18.6219355145	0.6	0.083	306.697044274	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	8	0					False	1	left	-216.017964344	-9.79348254801	0.6	0.083	315.065571398	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	practice	9	0					False	1	right	189.221737588	7.4671976666	0.6	0.083	344.917685303	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	0	1	frame	left	-200	0	False	1	left	-191.487194694	16.8886275013	0.6	0.083	354.941435522	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	1	1	frame	right	200	0	False	1	right	191.468276786	-13.9741359858	0.6	0.083	319.421791006	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	2	1	sound	right			False	1	right	198.554864244	6.6774993655	0.6	0.083	415.978030185	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	3	1	sound	left			False	1	left	-185.277663463	-2.5993112593	0.6	0.083	270.597194351	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	4	1	frame	right	200	0	False	1	right	204.40637122	10.63959222	0.6	0.083	386.138783724	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	5	1	frame	right	200	0	False	1	right	219.193519196	21.5695672011	0.6	0.083	361.462117624	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	6	0					False	0					0.083	1086.79178775		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	7	1	sound	right			False	1	right	187.320399188	-2.48730256724	0.6	0.083	392.314383993	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	8	0					False	1	right	186.197613044	1.11907477751	0.6	0.083	349.559718466	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	9	1	frame	left	-200	0	False	0					0.083	1080.6298348		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	10	1	frame	left	-200	0	False	1	left	-204.348717036	11.5154156676	0.6	0.083	374.631376559	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	11	1	frame	left	-200	0	False	1	left	-183.611725782	-15.8061993413	0.6	0.083	370.97428886	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	12	1	sound	left			False	0					0.083	1094.00263354		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	13	1	sound	left			False	1	left	-199.38567061	-19.3713133685	0.6	0.083	349.60728907	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	14	1	sound	left			False	1	left	-210.60573966	0.137348327173	0.6	0.083	284.977554082	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	15	0					False	0					0.083	1086.65843408		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	16	0					False	1	right	210.137544467	-5.90650304491	0.6	0.083	303.050874412	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	17	1	sound	left			False	1	left	-204.736020147	-11.3293223112	0.6	0.083	336.313254767	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	18	1	frame	left	-200	0	False	1	left	-187.813745131	4.79196579899	0.6	0.083	359.654824584	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	19	0					False	1	right	196.068843512	-7.64067958461	0.6	0.083	295.023919825	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	20	0					False	0					0.083	1085.69181501		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	21	1	frame	right	200	0	False	1	right	198.862211862	-8.16976015692	0.6	0.083	390.610420538	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	22	1	frame	right	200	0	False	1	right	189.229372123	20.4315516171	0.6	0.083	388.360954836	 	go	1	0.1
