subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	0	0					0					250.835884362	y	present	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	1	0					1	left	-193.403240809	0.644462094725	1.0	655.00850603	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	2	0					1	right	207.539088509	-22.8041380755	1.0	879.271721467	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	3	0					1	left	-220.021430054	-15.5694971299	1.0	899.128032848	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	4	0					0					582.750918344	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	5	0					0					558.502836153	y	present	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	6	0					1	right	207.276462129	-19.0666391517	1.0	711.629698053	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	7	0					0					1121.96433172	y	present	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	8	0					1	left	-187.915107231	14.3326616632	1.0	770.654177293	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	9	0					1	left	-201.207777838	-16.9809550336	1.0	778.960559517	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	0	0					1	left	-185.680032862	-16.2384776231	0.6	1766.36658236	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	1	0					1	left	-223.623376928	-17.7909534899	0.6	1055.57410046	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	2	0					1	right	180.156957585	19.0261850128	0.6	862.812558189	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	3	0					1	right	207.395611708	-20.0575739517	0.6	618.290392682	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	4	0					1	right	196.983106526	6.28728983655	0.6	583.143293858	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	5	0					1	left	-189.862677846	2.56850075364	0.6	947.505194694	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	6	0					1	right	187.077844791	-5.64998409912	0.6	804.289951921	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	7	0					0					845.67168355	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	8	0					0					945.977903903	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	practice	9	0					1	left	-214.548371903	-9.74668064751	0.6	596.494643018	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	0	0					0					2060.91106683	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	1	0					0					879.296053201	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	2	1	dot	left	-200	0	0					861.078053713	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	3	0					0					1441.33329578	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	4	0					1	right	221.415457982	-8.8623864586	0.6	829.211762175	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	5	0					0					649.692449719	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	6	1	dot	right	192.26312523	19.7254272775	1	right	192.26312523	19.7254272775	0.6	698.986671865	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	7	1	dot	left	-200	0	0					794.444870204	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	8	0					1	left	-223.071739372	-5.64303710924	0.6	614.329393953	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	9	1	dot	left	-200	0	0					655.256401747	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	10	1	dot	left	-181.090768111	5.30535934113	1	left	-181.090768111	5.30535934113	0.6	157.189372927	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	11	1	dot	left	-216.859940554	-11.681306636	1	left	-216.859940554	-11.681306636	0.6	45.6769317389	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	12	1	dot	right	200	0	0					0.0	y	present	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	13	0					1	left	-203.239600465	21.8003701255	0.6	611.966406927	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	14	0					0					1234.33680087	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	15	1	dot	left	-202.703198928	9.64734377142	1	left	-202.703198928	9.64734377142	0.6	787.574529648	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	16	0					0					1020.70987597	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	17	0					1	right	177.887658406	-21.7548171435	0.6	1065.83550945	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	18	1	dot	right	221.554957234	-7.05728759766	1	right	221.554957234	-7.05728759766	0.6	839.709658176	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	19	0					1	right	212.967694351	13.8422961373	0.6	488.833699375	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	20	1	dot	left	-200	0	0					20.7205228508	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	21	1	dot	left	-185.056580775	4.60640739178	1	left	-185.056580775	4.60640739178	0.6	270.457990468	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	22	1	dot	left	-183.36709617	12.2027133936	1	left	-183.36709617	12.2027133936	0.6	605.294154957	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	23	0					1	right	184.212203634	22.7036558414	0.6	683.024059981	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	24	0					0					675.853736699	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	25	1	dot	right	200	0	0					647.549983114	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	26	0					0					945.175286382	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	27	1	dot	left	-194.99471883	-2.8404574195	1	left	-194.99471883	-2.8404574195	0.6	237.348422408	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	28	0					1	left	-219.854665158	3.8020608665	0.6	295.490439981	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	29	1	dot	left	-205.477050866	-0.355864744126	1	left	-205.477050866	-0.355864744126	0.6	474.712429568	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	30	1	dot	left	-200	0	0					412.118567154	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	31	1	dot	left	-209.575724102	-23.4240051488	1	left	-209.575724102	-23.4240051488	0.6	1254.3870192	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	32	0					1	left	-214.3871735	19.4122346638	0.6	529.39760685	y	present	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	33	0					0					762.995285913	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	34	1	dot	left	-177.558602985	-17.7159006747	1	left	-177.558602985	-17.7159006747	0.6	940.672874451	u	absent	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	35	0					0					1229.37053628	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	36	0					0					925.541015342	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	37	0					0					1269.53865029	y	present	0
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	38	0					0					1328.85702886	u	absent	1
SPC2_208	2015_Apr_10_1456	LL-Jerry	PME	cueing_effect	39	0					0					1130.8760047	u	absent	1
