subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	0	0					0					1949.27783636	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	1	0					0					1131.60962635	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	2	0					1	right	215.804506023	-3.16180667861	1.0	714.917258825	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	3	0					1	right	187.004431557	-3.32525204639	1.0	636.305294698	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	4	0					1	right	205.238561273	14.8920331488	1.0	525.314508239	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	5	0					1	left	-215.6564202	15.7189576831	1.0	793.947650585	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	6	0					1	left	-205.806487732	0.364313080204	1.0	695.656749886	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	7	0					1	left	-206.953471257	-2.47476582903	1.0	543.217785889	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	8	0					1	right	199.554396583	-5.49277701086	1.0	802.307769889	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	practice	9	0					1	right	209.738275216	0.136563382107	1.0	834.426587215	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	0	0					1	right	197.384959134	19.3304488225	0.8	694.630300393	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	1	0					1	right	219.194950425	-2.06551497985	0.75516093705	491.20586738	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	2	0					1	left	-200.519534311	-1.92017589498	0.630372096044	700.051524211	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	3	0					0					699.693605304	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	4	0					1	left	-207.556913046	10.566652999	0.532180665823	709.922897164	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	5	0					1	right	206.775376413	5.63059737716	0.448708990399	1304.33261534	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	6	0					0					588.595003355	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	7	0					1	right	217.716987903	7.7259559794	0.372237105928	620.495988987	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	8	0					1	right	201.707631583	17.3113031551	0.512955691625	730.560440104	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	9	0					1	left	-184.940808579	-1.43349178285	0.454279596101	1013.96213612	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	10	0					1	left	-192.900706658	-14.0256867211	0.553448210414	698.596745497	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	11	0					1	right	218.821559791	-9.217635107	0.499745363096	538.281365996	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	12	0					1	left	-218.49736657	0.545187556402	0.590615540835	869.859087747	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	13	0					1	right	217.268255389	10.6956207281	0.537919448994	837.298739236	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	14	0					1	right	215.504904999	-16.8723357429	0.626112723294	588.024386903	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	15	0					1	right	208.406179036	-2.61852459088	0.572388162746	588.683749549	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	16	0					1	left	-208.10393663	6.71737005727	0.53557159085	869.560577441	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	17	0					1	left	-209.251573094	14.5237109877	0.507160897139	866.200687597	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	18	0					1	left	-199.847638569	-15.48286819	0.553873444989	850.157414563	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	19	0					1	left	-194.69952356	-1.02866421315	0.615171302754	856.057208264	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	20	0					1	right	195.20739897	-7.81286371168	0.71555615377	589.324776549	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	21	0					1	left	-189.522257262	-17.7040034409	0.651510024871	605.410588905	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	22	0					1	left	-199.676061671	-15.2226331709	0.610787243761	511.267293012	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	23	0					0					756.721888669	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	24	0					1	left	-198.422496703	12.9845818372	0.581847381803	983.222186565	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	25	0					1	left	-198.316591187	8.92981812736	0.628148881698	731.151593151	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	26	0					1	left	-184.355818731	-6.41677363394	0.597625137396	622.618565103	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	27	0					1	left	-211.130209234	2.57945461374	0.574807883561	527.438918129	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	28	0					1	left	-186.565895808	10.3612856133	0.557158377158	740.579601377	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	29	0					1	right	197.529262653	-2.43613780928	0.542119033844	561.070089461	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	30	0					1	left	-194.847630918	1.13041942625	0.565983741923	584.666330367	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	31	0					1	left	-193.775242352	3.9979092776	0.59728699491	544.559981674	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	32	0					1	right	199.445199815	-7.65345265981	0.577465403245	678.688608808	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	33	0					1	right	216.931045039	5.78063805916	0.561543777563	806.754618185	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	34	0					1	right	206.862283847	12.3774862538	0.54849759686	730.088471202	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	35	0					1	left	-188.499683227	-17.6654422279	0.570156527014	997.512903763	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	36	0					0					573.175521335	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	37	0					1	right	201.238939394	-16.7731402888	0.596903595471	870.804492384	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	38	0					1	left	-208.707151898	4.21204374749	0.633199860384	510.0930552	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	39	0					1	right	202.032086547	-9.98454260195	0.609886512313	701.225395314	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	40	0					1	right	187.371569687	-3.86199256321	0.591816646771	576.00586745	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	41	0					1	right	201.967064562	-19.1281821157	0.577321100608	778.915791772	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	42	0					1	right	194.006981827	10.7237398491	0.565003732007	590.055649867	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	43	0					1	left	-204.217450728	-17.7938568522	0.554354544185	793.762823567	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	44	0					1	right	207.225459522	-5.47049459184	0.545396406208	514.198487159	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	45	0					1	left	-209.28011287	14.9218752925	0.560883009253	667.977079982	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	46	0					1	right	188.481044409	-1.23729501013	0.551509058861	882.197020343	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	47	0					0					779.959110776	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	48	0					1	right	199.693040558	14.1422300348	0.566799473046	698.26376345	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	49	0					0					823.947925586	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	50	0					1	right	197.236372249	4.82867372897	0.556989490601	715.340820607	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	51	0					0					623.445152538	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	52	0					1	left	-217.016635453	-15.0047541346	0.573177984103	748.191611376	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	53	0					1	left	-214.150203687	2.22706196837	0.563303370891	729.905477958	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	54	0					0					589.082741179	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	55	0					1	left	-198.160225476	-14.8987279	0.554662494963	1169.9245472	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	56	0					1	left	-191.080794571	7.31262890963	0.546977444939	792.542379117	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	57	0					1	right	192.699575941	10.0459207219	0.560061309413	835.040476639	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	58	0					1	left	-208.60544174	19.3001375071	0.552094391092	624.020536197	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	59	0					1	left	-191.600612051	14.1487314414	0.544979592371	589.596149279	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	60	0					1	left	-188.984560587	10.0230707416	0.538498611808	762.455191463	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	61	0					1	right	190.230725608	-2.04296821481	0.549422299098	605.433325749	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	62	0					0					575.88374964	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	63	0					0					554.112674668	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	64	0					1	left	-219.87211834	12.5112517098	0.561709639597	618.964932393	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	65	0					1	left	-180.222246906	0.0355642332371	0.57557917648	663.255191408	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	66	0					0					653.703598306	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	67	0					1	right	213.239030992	1.24099047849	0.592698201584	635.162961204	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	68	0					1	left	-202.195153314	15.4110931258	0.612641808926	692.943020957	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	69	0					1	left	-199.932716505	5.34628874235	0.638218355102	1053.63868899	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	70	0					1	right	203.803422244	-5.69492390164	0.674739117485	652.45454968	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	71	0					1	left	-215.84935803	17.5709146447	0.650682662675	570.633784169	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	72	0					1	left	-214.918435345	7.43088828469	0.632434345271	541.179555235	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	73	0					1	right	204.991098655	-8.37621191771	0.618056354046	543.824707624	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	74	0					1	left	-195.815227753	14.8518505661	0.606088229811	617.774925428	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	75	0					1	left	-213.054641808	-1.12862080832	0.595884838493	544.112949865	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	76	0					1	left	-192.299711155	9.2463774754	0.587062374389	584.475269308	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	77	0					1	left	-219.756218915	19.7372250384	0.57929387471	528.929268941	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	78	0					1	left	-200.845147092	-0.263397023813	0.572551778058	509.608984692	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	79	0					0					654.127160087	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	80	0					1	left	-186.594113041	4.58426652763	0.566487300849	572.549163364	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	81	0					1	right	187.496181901	8.50929294971	0.560704720399	652.669080999	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	82	0					1	left	-195.951100955	11.8550530746	0.555632845912	537.628970807	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	83	0					1	right	183.990615553	-8.51066601633	0.55064587587	760.136053199	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	84	0					1	right	217.089037823	14.2813288896	0.546254783893	560.98977779	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	85	0					0					555.426632985	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	86	0					1	left	-215.835080834	4.10027205997	0.553942675264	714.347742265	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	87	0					1	right	182.576185673	10.0429538234	0.561736363633	667.008572025	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	88	0					0					662.488746224	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	89	0					1	left	-196.343277399	-11.2965089187	0.556846442085	871.664084494	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	90	0					1	left	-196.527801022	-14.2338711549	0.565284240552	504.54531284	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	91	0					0					590.807059314	u	absent	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	92	0					1	left	-187.084839563	4.56944142202	0.560002161803	746.638184646	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	93	0					1	left	-196.811234314	-11.7220104218	0.568400562836	635.700206272	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	94	0					1	left	-195.452750835	-1.91740581958	0.57773646855	584.540912183	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	95	0					1	left	-209.929921741	19.8125808027	0.57196935921	716.397708049	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	96	0					1	right	194.412398369	-3.10166544428	0.56680390882	716.032821452	u	absent	0
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	97	0					1	left	-216.420698179	-19.7370390826	0.575689641803	481.181939133	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	98	0					1	left	-187.741795723	19.3068841009	0.570118535638	760.978409322	y	present	1
SPC-pilot-2	2015_Mar_27_1104	LL-George	PME	calibration	99	0					1	left	-216.638613357	16.072532477	0.565314240971	741.003896343	y	present	1
