subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	0	0					0					462.062702747	u	absent	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	1	0					1	right	206.622288998	18.8257869727	1.0	655.856272206	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	2	0					1	right	187.732958484	-13.6383909981	1.0	569.871118991	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	3	0					0					620.670026401	u	absent	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	4	0					1	right	187.968231909	-18.751697325	1.0	473.933921428	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	5	0					1	left	-183.297127192	7.60140552602	1.0	461.584914709	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	6	0					1	right	212.41983224	20.2630412276	1.0	617.422094569	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	7	0					1	left	-220.24912423	-22.8795220216	1.0	863.75886621	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	8	0					1	left	-211.249651372	-1.07563497062	1.0	514.270266285	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	9	0					0					537.03113622	u	absent	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	10	0					0					494.928676868	u	absent	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	11	0					0					646.941627376	u	absent	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	12	0					0					567.091991194	u	absent	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	13	0					1	right	204.272974582	-12.3118712911	1.0	445.024378831	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	14	0					1	right	183.390066808	21.2766576934	1.0	411.485843593	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	15	0					1	right	194.007264416	-14.922829078	1.0	598.894894589	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	16	0					1	left	-216.736596446	-20.7608024895	1.0	483.137998497	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	17	0					0					620.424554218	u	absent	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	18	0					1	left	-216.947854078	1.03501566344	1.0	570.256815059	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	practice	19	0					1	right	183.468881347	-13.1304393565	1.0	561.924243812	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	0	0					1	left	-209.299764256	8.62699459477	0.8	1065.08441502	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	1	0					1	left	-179.232536035	13.5464258284	1.0	873.191408813	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	2	0					1	left	-192.091725571	-4.40503792325	1.0	520.453593927	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	3	0					1	left	-195.90271428	18.5785579297	0.922040690101	362.863776041	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	4	0					1	right	204.879961027	-20.8098523948	0.860906834362	404.147674795	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	5	0					1	left	-210.730241631	4.49443593989	0.81343164617	370.655345963	u	absent	0
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	6	0					1	left	-223.194258936	0.469405509397	0.893740625814	512.291088235	y	present	1
SPC1_103a	2015_Apr_09_1559	LL-Elaine	PME	calibration	7	0					1	right	183.969676171	9.48772144817	0.849066950941	412.025240483	u	absent	0
