subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	0	0					1	left	-192.023481756	9.38037355284	1.0	2069.34787985		timeout	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	1	0					1	right	203.894844571	-4.81354424341	1.0	2077.47769868		timeout	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	2	0					1	right	209.827852	3.57507333917	1.0	2070.7821222		timeout	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	3	0					1	left	-185.512284553	15.208001446	1.0	1743.87348164	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	4	0					1	left	-177.698641704	-7.25770364574	1.0	1610.77387119	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	5	0					1	right	208.49941471	5.98922824919	1.0	2077.11134525		timeout	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	6	0					1	left	-190.266473588	10.4570434192	1.0	902.711345349	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	7	0					0					410.296034534	y	present	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	8	0					0					2062.33105669		timeout	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	9	0					0					929.291955195	y	present	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	10	0					1	left	-222.484997779	-3.49017442567	1.0	685.464863665	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	11	0					1	right	221.227831337	9.21718842879	1.0	2071.01902366		timeout	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	12	0					1	right	214.134021765	5.98062295409	1.0	1427.56231921	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	13	0					1	right	215.142900719	-20.4891195333	1.0	652.046023402	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	14	0					1	right	187.359871068	-8.12502842453	1.0	727.919321507	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	15	0					1	left	-186.12766534	-17.0936830359	1.0	504.528443795	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	16	0					1	right	222.27217598	-21.5381941829	1.0	1309.87815745	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	17	0					1	right	195.984629186	-5.64247463612	1.0	981.665826403	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	18	0					1	right	218.503426981	-21.0532369318	1.0	1210.29236773	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	practice	19	0					1	right	220.229691149	-4.07479536585	1.0	844.204813242	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	0	0					0					1335.46312153	u	absent	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	1	0					1	right	213.747933116	7.10900545179	0.8	1276.96649078	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	2	0					1	right	202.319496273	3.78376074519	1.0	1294.24377717	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	3	0					1	right	196.349070309	-6.75308738054	1.0	1335.59477469	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	4	0					1	right	197.957727874	-5.83697426583	1.0	1347.45120304	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	5	0					1	left	-210.158401206	-21.5885269417	1.0	406.611597631	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	6	0					1	left	-220.5576023	-2.02039406604	1.0	752.591886092	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	7	0					1	right	184.003491723	15.9550838922	1.0	1144.00550071	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	8	0					1	right	187.395739546	3.57951321299	1.0	1738.94806346	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	9	0					0					1710.10699077	u	absent	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	10	0					1	left	-194.681572076	-12.4205897013	1.0	502.977584023	y	present	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	11	0					1	right	207.177162681	-13.5307333965	1.0	1252.75599398	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	12	0					0					1402.20985562	u	absent	1
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	13	0					1	right	204.457021344	-8.13308289131	1.0	1518.98711873	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	14	0					1	right	184.547021313	-0.428898392417	1.0	1602.43025469	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	15	0					1	right	179.457210825	3.02441839965	1.0	970.701627433	u	absent	0
SPC1_106	2015_Apr_09_1631	LL-George	PME	calibration	16	0					1	right	197.000872872	-0.582515187298	1.0	789.790878072	u	absent	0
