subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	0	0					0					1339.18185887		nogo	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	1	0					0					1336.31064784		nogo	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	2	0					1	right	183.340921025	-13.6621054744	1.0	1331.18495214		nogo	0
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	3	0					1	right	189.103630959	-13.0683287136	1.0	481.539120578	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	4	0					1	left	-193.771231458	14.4529294019	1.0	578.128995927	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	5	0					1	right	209.144548327	7.65643032693	1.0	198.539366043	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	6	0					1	left	-208.137583938	20.3715220561	1.0	0.0	 	go	0
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	7	0					1	left	-216.49226309	-17.50544069	1.0	420.935004673	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	8	0					1	left	-219.174076681	10.572294265	1.0	490.960081253	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	practice	9	0					1	right	204.811578631	12.4411319045	1.0	505.486201466	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	0	1	frame	left	-200	0	1	left	-211.307677127	-20.3407200204	1.0	429.711643519	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	1	1	frame	left	-200	0	1	left	-222.717707915	-8.88332854486	1.0	395.088971272	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	2	0					1	left	-203.962232373	17.4380360324	1.0	389.088563767	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	3	1	sound	right			1	right	186.840652076	3.50539896367	1.0	444.973856516	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	4	0					1	left	-197.525825803	21.0206247871	1.0	437.12391163	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	5	1	frame	left	-200	0	1	left	-204.118805434	-15.8369077879	1.0	584.759927544	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	6	0					1	left	-204.084237394	1.08388001257	1.0	389.582073229	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	7	1	frame	left	-200	0	1	left	-209.841775241	-3.05732661136	1.0	383.109975926	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	8	1	sound	right			1	right	207.073650685	-16.0874644703	1.0	1162.59243275	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	9	1	frame	left	-200	0	1	left	-199.905832409	7.18074937492	1.0	403.677255075	 	go	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	10	0					0					1338.06873515		nogo	1
SPC_327	2015_Apr_16_1623	LL-Elaine	NS	cueing_effect	11	0					1	right	221.992701143	-1.63093961756	1.0	573.323535878	 	go	1
