subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
P213,SPC,JR,word_arrow,0,0,nomask,visual_arrow,valid,left,left,1431.41110381,left,1
P213,SPC,JR,word_arrow,0,1,nomask,visual_word,valid,right,right,552.570779226,right,1
P213,SPC,JR,word_arrow,0,2,nomask,visual_word,valid,right,right,446.612678701,right,1
P213,SPC,JR,word_arrow,0,3,nomask,visual_arrow,valid,right,right,368.00153635,right,1
P213,SPC,JR,word_arrow,0,4,nomask,visual_arrow,valid,right,right,658.085879404,right,1
P213,SPC,JR,word_arrow,0,5,nomask,visual_word,valid,right,right,736.87659041,right,1
P213,SPC,JR,word_arrow,0,6,nomask,visual_arrow,valid,left,left,901.622521225,left,1
P213,SPC,JR,word_arrow,0,7,nomask,visual_arrow,valid,right,right,266.002272605,right,1
P213,SPC,JR,word_arrow,0,8,nomask,visual_arrow,valid,right,right,385.431237286,right,1
P213,SPC,JR,word_arrow,0,9,nomask,visual_arrow,valid,left,left,316.198005923,left,1
P213,SPC,JR,word_arrow,0,10,nomask,visual_word,invalid,left,up,746.575868572,left,0
P213,SPC,JR,word_arrow,0,11,nomask,visual_arrow,valid,left,left,421.382456087,left,1
P213,SPC,JR,word_arrow,0,12,nomask,visual_arrow,neutral,neutral,left,588.744778652,left,1
P213,SPC,JR,word_arrow,0,13,nomask,visual_arrow,valid,right,right,895.173087134,right,1
P213,SPC,JR,word_arrow,0,14,nomask,visual_word,invalid,right,down,902.606789023,down,1
P213,SPC,JR,word_arrow,1,15,nomask,visual_word,invalid,right,up,1263.8442457,up,1
P213,SPC,JR,word_arrow,1,16,nomask,visual_word,valid,left,left,989.971352275,up,0
P213,SPC,JR,word_arrow,1,17,nomask,visual_arrow,valid,left,left,615.109709906,left,1
P213,SPC,JR,word_arrow,1,18,nomask,visual_word,valid,right,right,618.169422029,right,1
P213,SPC,JR,word_arrow,1,19,nomask,visual_arrow,invalid,left,down,811.590032536,down,1
P213,SPC,JR,word_arrow,1,20,nomask,visual_arrow,valid,left,left,539.985916228,left,1
P213,SPC,JR,word_arrow,1,21,nomask,visual_word,valid,left,left,1102.39905259,down,0
P213,SPC,JR,word_arrow,1,22,nomask,visual_arrow,invalid,right,up,444.844197598,up,1
P213,SPC,JR,word_arrow,1,23,nomask,visual_word,invalid,right,left,371.95141078,left,1
P213,SPC,JR,word_arrow,1,24,nomask,visual_arrow,valid,left,left,469.042139361,left,1
P213,SPC,JR,word_arrow,1,25,nomask,visual_word,valid,right,right,466.406862601,right,1
