subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC228,SPC,NS,visual_auditory,0,0,mask,auditory_word,invalid,left,up,1450.02064575,left,0
SPC228,SPC,NS,visual_auditory,0,1,mask,auditory_word,invalid,right,up,666.831618175,right,0
SPC228,SPC,NS,visual_auditory,0,2,mask,auditory_word,valid,right,right,666.249059606,down,0
SPC228,SPC,NS,visual_auditory,0,3,mask,visual_word,valid,left,left,2116.63364433,timeout,0
SPC228,SPC,NS,visual_auditory,0,4,mask,auditory_word,neutral,neutral,right,2116.62340164,timeout,0
SPC228,SPC,NS,visual_auditory,0,5,mask,auditory_word,valid,right,right,2116.61379901,timeout,0
SPC228,SPC,NS,visual_auditory,0,6,mask,visual_word,valid,right,right,636.352607748,right,1
SPC228,SPC,NS,visual_auditory,0,7,mask,visual_word,valid,right,right,789.747931296,right,1
SPC228,SPC,NS,visual_auditory,0,8,mask,visual_word,valid,right,right,687.202599132,right,1
SPC228,SPC,NS,visual_auditory,0,9,mask,auditory_word,invalid,right,up,727.321351413,up,1
SPC228,SPC,NS,visual_auditory,0,10,mask,auditory_word,valid,left,left,821.699662367,left,1
SPC228,SPC,NS,visual_auditory,0,11,mask,auditory_word,valid,left,left,671.450794442,right,0
SPC228,SPC,NS,visual_auditory,0,12,mask,visual_word,valid,right,right,703.544324031,right,1
SPC228,SPC,NS,visual_auditory,0,13,mask,auditory_word,valid,right,right,566.635404946,right,1
SPC228,SPC,NS,visual_auditory,0,14,mask,visual_word,valid,left,left,723.075396614,left,1
SPC228,SPC,NS,visual_auditory,1,15,mask,visual_word,valid,left,left,714.300529798,left,1
SPC228,SPC,NS,visual_auditory,1,16,mask,visual_word,valid,left,left,543.713330058,left,1
SPC228,SPC,NS,visual_auditory,1,17,mask,visual_word,invalid,right,up,587.133460212,up,1
SPC228,SPC,NS,visual_auditory,1,18,mask,visual_word,valid,right,right,613.247763366,right,1
SPC228,SPC,NS,visual_auditory,1,19,mask,auditory_word,valid,right,right,647.279100027,right,1
SPC228,SPC,NS,visual_auditory,1,20,mask,auditory_word,invalid,right,left,545.372341294,left,1
SPC228,SPC,NS,visual_auditory,1,21,mask,visual_word,valid,right,right,556.466558948,right,1
SPC228,SPC,NS,visual_auditory,1,22,mask,auditory_word,invalid,right,up,591.216170695,up,1
SPC228,SPC,NS,visual_auditory,1,23,mask,auditory_word,valid,right,right,465.945937438,right,1
SPC228,SPC,NS,visual_auditory,1,24,mask,auditory_word,invalid,right,left,459.062144859,left,1
