subj_id,seed,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,soa,target_loc_x,target_loc_y,rt,response_type,is_correct
SPC312,312,SPC,DZ,word_arrow,0,0,nomask,visual_arrow,valid,right,right,0.175,203.112437505,46.5001192092,2116.59683427,timeout,0
SPC312,312,SPC,DZ,word_arrow,0,1,nomask,visual_word,invalid,left,down,0.175,-2.35905161853,-177.810032595,2116.64484721,timeout,0
SPC312,312,SPC,DZ,word_arrow,0,2,nomask,visual_arrow,valid,left,left,0.175,-271.175248013,52.522430485,679.837075993,left,1
SPC312,312,SPC,DZ,word_arrow,0,3,nomask,visual_word,invalid,right,down,0.175,22.8183025909,-243.599834303,2116.6602117,timeout,0
SPC312,312,SPC,DZ,word_arrow,0,4,nomask,visual_word,valid,left,left,0.175,-234.249372687,9.08793653064,407.565897796,left,1
SPC312,312,SPC,DZ,word_arrow,0,5,nomask,visual_arrow,valid,left,left,0.175,-213.12448397,3.67896284743,264.637101442,left,1
SPC312,312,SPC,DZ,word_arrow,0,6,nomask,visual_word,neutral,neutral,left,0.175,-253.43306911,-16.849057933,2116.62724288,timeout,0
SPC312,312,SPC,DZ,word_arrow,0,7,nomask,visual_arrow,valid,right,right,0.175,231.009230586,39.729017222,363.953395281,left,0
SPC312,312,SPC,DZ,word_arrow,0,8,nomask,visual_arrow,invalid,right,up,0.175,11.724552639,246.037178809,390.663700644,up,1
SPC312,312,SPC,DZ,word_arrow,0,9,nomask,visual_arrow,valid,right,right,0.175,206.758841617,-9.04290589989,448.37411819,right,1
SPC312,312,SPC,DZ,word_arrow,0,10,nomask,visual_arrow,valid,left,left,0.175,-201.517459744,-11.5888245661,1271.77312225,left,1
SPC312,312,SPC,DZ,word_arrow,0,11,nomask,visual_arrow,invalid,left,up,0.175,-33.0544776989,226.777298848,1238.56248893,left,0
SPC312,312,SPC,DZ,word_arrow,0,12,nomask,visual_word,valid,left,left,0.175,-254.929034895,52.9707443967,1438.29393573,up,0
SPC312,312,SPC,DZ,word_arrow,0,13,nomask,visual_word,neutral,neutral,right,0.175,198.741736773,0.977350291192,398.088760208,right,1
SPC312,312,SPC,DZ,word_arrow,0,14,nomask,visual_word,invalid,right,down,0.175,-45.37046279,-214.639239761,871.441191994,left,0
SPC312,312,SPC,DZ,word_arrow,1,15,nomask,visual_arrow,valid,left,left,0.175,-220.18985992,12.2738511167,242.307187989,up,0
SPC312,312,SPC,DZ,word_arrow,1,16,nomask,visual_arrow,valid,left,left,0.175,-200.228601106,-46.586326368,426.039402839,left,1
SPC312,312,SPC,DZ,word_arrow,1,17,nomask,visual_word,valid,left,left,0.175,-243.387886849,1.10570645918,130.124673713,right,0
SPC312,312,SPC,DZ,word_arrow,1,18,nomask,visual_arrow,valid,right,right,0.175,228.551689249,-20.5243947786,430.470688269,down,0
SPC312,312,SPC,DZ,word_arrow,1,19,nomask,visual_word,valid,left,left,0.175,-173.725891761,-52.2180558906,390.552950557,left,1
SPC312,312,SPC,DZ,word_arrow,1,20,nomask,visual_word,neutral,neutral,left,0.175,-194.686610369,47.4853749003,440.282636788,left,1
SPC312,312,SPC,DZ,word_arrow,1,21,nomask,visual_word,neutral,neutral,right,0.175,224.719450925,-10.8450303312,399.951986969,right,1
SPC312,312,SPC,DZ,word_arrow,1,22,nomask,visual_word,valid,left,left,0.175,-210.433720378,9.49901210408,345.038810745,left,1
SPC312,312,SPC,DZ,word_arrow,1,23,nomask,visual_arrow,valid,right,right,0.175,257.061279533,2.33368910183,332.745546941,right,1
SPC312,312,SPC,DZ,word_arrow,1,24,nomask,visual_word,valid,right,right,0.175,268.293354082,-20.8056022205,400.882159825,right,1
SPC312,312,SPC,DZ,word_arrow,1,25,nomask,visual_word,invalid,right,left,0.175,-204.605988067,31.2391792471,434.255717788,left,1
SPC312,312,SPC,DZ,word_arrow,1,26,nomask,visual_word,valid,left,left,0.175,-236.344110555,26.773140698,418.254564982,left,1
SPC312,312,SPC,DZ,word_arrow,1,27,nomask,visual_arrow,valid,left,left,0.175,-240.239231534,28.1081498394,370.976105332,left,1
SPC312,312,SPC,DZ,word_arrow,1,28,nomask,visual_word,valid,left,left,0.175,-180.237493732,0.591909502421,357.35640116,left,1
SPC312,312,SPC,DZ,word_arrow,1,29,nomask,visual_arrow,valid,left,left,0.175,-171.94932582,8.84892708987,408.424691763,left,1
SPC312,312,SPC,DZ,word_arrow,1,30,nomask,visual_word,invalid,right,left,0.175,-259.70888673,-17.8195875687,497.487636749,left,1
SPC312,312,SPC,DZ,word_arrow,1,31,nomask,visual_arrow,invalid,right,left,0.175,-195.319678989,20.4583296669,462.888145354,left,1
SPC312,312,SPC,DZ,word_arrow,1,32,nomask,visual_word,invalid,right,down,0.175,48.6162695581,-238.076353736,477.656002622,up,0
SPC312,312,SPC,DZ,word_arrow,1,33,nomask,visual_arrow,neutral,neutral,right,0.175,191.420696602,-17.4281612454,467.64367912,right,1
SPC312,312,SPC,DZ,word_arrow,1,34,nomask,visual_word,invalid,left,down,0.175,-22.1716815364,-240.606059412,586.3950192,down,1
SPC312,312,SPC,DZ,word_arrow,1,35,nomask,visual_word,invalid,right,left,0.175,-214.281653795,25.4911461949,444.109597709,left,1
SPC312,312,SPC,DZ,word_arrow,1,36,nomask,visual_word,neutral,neutral,left,0.175,-234.639944813,-47.4991563043,403.811916709,left,1
SPC312,312,SPC,DZ,word_arrow,1,37,nomask,visual_word,valid,right,right,0.175,196.453919669,-38.9331696733,412.908471189,right,1
SPC312,312,SPC,DZ,word_arrow,1,38,nomask,visual_arrow,valid,left,left,0.175,-176.766009435,-27.7481703858,397.958804388,left,1
SPC312,312,SPC,DZ,word_arrow,1,39,nomask,visual_arrow,valid,left,left,0.175,-190.002979244,-17.239735587,367.334474809,left,1
SPC312,312,SPC,DZ,word_arrow,1,40,nomask,visual_arrow,invalid,left,right,0.175,254.708583074,-43.6889497715,378.044588026,right,1
SPC312,312,SPC,DZ,word_arrow,1,41,nomask,visual_word,valid,right,right,0.175,240.408145044,33.8074033873,452.127458993,right,1
SPC312,312,SPC,DZ,word_arrow,1,42,nomask,visual_word,valid,left,left,0.175,-210.231323889,-27.0514126973,387.484596111,left,1
SPC312,312,SPC,DZ,word_arrow,1,43,nomask,visual_arrow,invalid,right,up,0.175,39.250323399,182.022559679,493.57969407,up,1
SPC312,312,SPC,DZ,word_arrow,1,44,nomask,visual_arrow,valid,right,right,0.175,195.090944804,25.8878515408,395.298241172,right,1
SPC312,312,SPC,DZ,word_arrow,1,45,nomask,visual_arrow,valid,right,right,0.175,254.180115256,11.5965806613,381.007314194,right,1
SPC312,312,SPC,DZ,word_arrow,1,46,nomask,visual_arrow,valid,right,right,0.175,209.386202914,-27.3338055034,407.105612569,right,1
SPC312,312,SPC,DZ,word_arrow,1,47,nomask,visual_arrow,valid,right,right,0.175,222.225297486,1.49159068389,392.103132326,right,1
SPC312,312,SPC,DZ,word_arrow,1,48,nomask,visual_arrow,invalid,left,up,0.175,-50.1074025379,216.308468915,505.887361243,up,1
SPC312,312,SPC,DZ,word_arrow,1,49,nomask,visual_word,invalid,left,down,0.175,-42.8134194262,-187.31828268,462.895187549,down,1
SPC312,312,SPC,DZ,word_arrow,1,50,nomask,visual_word,valid,left,left,0.175,-180.278415123,17.0856846485,413.62994723,left,1
SPC312,312,SPC,DZ,word_arrow,1,51,nomask,visual_arrow,invalid,right,down,0.175,-39.6032381362,-169.047644464,422.702814918,down,1
SPC312,312,SPC,DZ,word_arrow,1,52,nomask,visual_arrow,valid,right,right,0.175,179.378540476,33.6531361061,407.108813524,right,1
SPC312,312,SPC,DZ,word_arrow,1,53,nomask,visual_word,invalid,right,left,0.175,-240.390245141,15.405962197,408.133412246,left,1
SPC312,312,SPC,DZ,word_arrow,1,54,nomask,visual_word,valid,left,left,0.175,-219.182102673,4.42089587079,385.165885091,left,1
SPC312,312,SPC,DZ,word_arrow,1,55,nomask,visual_word,valid,left,left,0.175,-196.038432663,14.2650454358,419.252596796,left,1
SPC312,312,SPC,DZ,word_arrow,1,56,nomask,visual_word,invalid,right,up,0.175,-23.256012396,174.158720625,483.640350401,up,1
SPC312,312,SPC,DZ,word_arrow,1,57,nomask,visual_arrow,valid,left,left,0.175,-246.056755294,-31.7078297111,401.696781162,left,1
SPC312,312,SPC,DZ,word_arrow,1,58,nomask,visual_arrow,invalid,right,up,0.175,40.6538765744,186.034875177,459.08839209,up,1
SPC312,312,SPC,DZ,word_arrow,1,59,nomask,visual_arrow,valid,left,left,0.175,-191.913181694,-43.821941801,378.162380308,left,1
SPC312,312,SPC,DZ,word_arrow,1,60,nomask,visual_word,invalid,right,left,0.175,-190.58324092,15.2100523209,404.532112647,left,1
SPC312,312,SPC,DZ,word_arrow,1,61,nomask,visual_arrow,valid,left,left,0.175,-228.909819634,-33.2000433456,317.929996643,left,1
SPC312,312,SPC,DZ,word_arrow,1,62,nomask,visual_arrow,valid,right,right,0.175,234.516925521,-32.4218202335,410.65089684,right,1
SPC312,312,SPC,DZ,word_arrow,1,63,nomask,visual_arrow,valid,left,left,0.175,-246.262404362,-53.6434003498,339.684073813,left,1
SPC312,312,SPC,DZ,word_arrow,1,64,nomask,visual_arrow,valid,left,left,0.175,-188.665470653,-43.8355844929,375.448042061,left,1
