subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
P212,SPC,JR,word_arrow,0,0,mask,visual_arrow,valid,left,left,1603.91404963,left,1
P212,SPC,JR,word_arrow,0,1,mask,visual_word,invalid,left,down,1205.11022268,down,1
P212,SPC,JR,word_arrow,0,2,mask,visual_word,valid,right,right,839.787076693,right,1
P212,SPC,JR,word_arrow,0,3,mask,visual_word,valid,right,right,833.070966997,right,1
P212,SPC,JR,word_arrow,0,4,mask,visual_arrow,valid,right,right,743.674558995,right,1
P212,SPC,JR,word_arrow,0,5,mask,visual_arrow,valid,right,right,657.976780785,right,1
P212,SPC,JR,word_arrow,0,6,mask,visual_arrow,valid,right,right,643.250440888,right,1
P212,SPC,JR,word_arrow,0,7,mask,visual_arrow,invalid,right,down,659.534334322,down,1
P212,SPC,JR,word_arrow,0,8,mask,visual_word,valid,left,left,595.147769141,left,1
P212,SPC,JR,word_arrow,0,9,mask,visual_word,invalid,right,up,1663.07580034,down,0
P212,SPC,JR,word_arrow,0,10,mask,visual_arrow,valid,right,right,648.358743114,right,1
P212,SPC,JR,word_arrow,0,11,mask,visual_word,valid,left,left,542.649313516,left,1
P212,SPC,JR,word_arrow,0,12,mask,visual_word,invalid,left,down,528.93445536,down,1
P212,SPC,JR,word_arrow,0,13,mask,visual_word,invalid,right,down,500.534868916,down,1
P212,SPC,JR,word_arrow,0,14,mask,visual_word,valid,left,left,547.170572274,left,1
P212,SPC,JR,word_arrow,1,15,mask,visual_arrow,valid,right,right,508.674735029,right,1
P212,SPC,JR,word_arrow,1,16,mask,visual_word,neutral,neutral,left,832.97077904,left,1
P212,SPC,JR,word_arrow,1,17,mask,visual_arrow,neutral,neutral,right,659.250095196,right,1
P212,SPC,JR,word_arrow,1,18,mask,visual_arrow,valid,left,left,514.541328303,left,1
P212,SPC,JR,word_arrow,1,19,mask,visual_word,valid,right,right,478.808180196,right,1
P212,SPC,JR,word_arrow,1,20,mask,visual_word,valid,right,right,463.776795485,right,1
P212,SPC,JR,word_arrow,1,21,mask,visual_arrow,invalid,left,right,553.396305535,right,1
P212,SPC,JR,word_arrow,1,22,mask,visual_word,valid,right,right,598.703319032,right,1
P212,SPC,JR,word_arrow,1,23,mask,visual_word,valid,left,left,464.965606458,left,1
P212,SPC,JR,word_arrow,1,24,mask,visual_arrow,valid,left,left,520.265801984,left,1
P212,SPC,JR,word_arrow,1,25,mask,visual_arrow,invalid,left,right,2116.71953474,timeout,0
P212,SPC,JR,word_arrow,1,26,mask,visual_word,invalid,left,right,544.124284235,right,1
P212,SPC,JR,word_arrow,1,27,mask,visual_word,valid,left,left,469.075230532,left,1
P212,SPC,JR,word_arrow,1,28,mask,visual_arrow,invalid,right,down,547.02909285,down,1
P212,SPC,JR,word_arrow,1,29,mask,visual_arrow,neutral,neutral,left,528.655337635,left,1
P212,SPC,JR,word_arrow,1,30,mask,visual_arrow,valid,right,right,453.956781595,right,1
P212,SPC,JR,word_arrow,1,31,mask,visual_word,invalid,left,right,447.213144158,right,1
P212,SPC,JR,word_arrow,1,32,mask,visual_word,valid,right,right,527.180366975,right,1
P212,SPC,JR,word_arrow,1,33,mask,visual_arrow,valid,left,left,395.462416694,left,1
P212,SPC,JR,word_arrow,1,34,mask,visual_word,invalid,right,left,447.085748718,left,1
P212,SPC,JR,word_arrow,1,35,mask,visual_word,invalid,left,right,397.406958044,right,1
P212,SPC,JR,word_arrow,1,36,mask,visual_word,valid,left,left,413.318587875,left,1
P212,SPC,JR,word_arrow,1,37,mask,visual_arrow,valid,right,right,477.940738725,right,1
P212,SPC,JR,word_arrow,1,38,mask,visual_arrow,valid,right,right,363.240966282,right,1
P212,SPC,JR,word_arrow,1,39,mask,visual_arrow,neutral,neutral,left,488.194473379,left,1
P212,SPC,JR,word_arrow,1,40,mask,visual_arrow,valid,right,right,461.148543749,right,1
P212,SPC,JR,word_arrow,1,41,mask,visual_arrow,valid,left,left,428.755205474,left,1
P212,SPC,JR,word_arrow,1,42,mask,visual_arrow,valid,right,right,334.387173411,right,1
P212,SPC,JR,word_arrow,1,43,mask,visual_word,valid,left,left,355.014035886,left,1
P212,SPC,JR,word_arrow,1,44,mask,visual_arrow,valid,right,right,423.972433957,right,1
P212,SPC,JR,word_arrow,1,45,mask,visual_word,valid,left,left,346.934666624,left,1
P212,SPC,JR,word_arrow,1,46,mask,visual_word,invalid,left,right,368.546123209,right,1
P212,SPC,JR,word_arrow,1,47,mask,visual_arrow,valid,left,left,324.160006188,left,1
P212,SPC,JR,word_arrow,1,48,mask,visual_arrow,valid,left,left,343.133928487,left,1
P212,SPC,JR,word_arrow,1,49,mask,visual_word,invalid,right,left,339.083520812,left,1
P212,SPC,JR,word_arrow,1,50,mask,visual_word,valid,left,left,384.376450384,left,1
P212,SPC,JR,word_arrow,1,51,mask,visual_word,neutral,neutral,left,451.998156263,left,1
P212,SPC,JR,word_arrow,1,52,mask,visual_word,valid,left,left,331.295752781,left,1
P212,SPC,JR,word_arrow,1,53,mask,visual_word,valid,left,left,344.566007203,left,1
P212,SPC,JR,word_arrow,1,54,mask,visual_arrow,valid,left,left,341.206031793,left,1
P212,SPC,JR,word_arrow,1,55,mask,visual_word,valid,left,left,379.167960316,left,1
