subj_id,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,rt,response_type,is_correct
SPC204,SPC,NS,word_arrow,0,0,mask,visual_word,invalid,right,up,705.449837202,left,0
SPC204,SPC,NS,word_arrow,0,1,mask,visual_word,valid,left,left,1060.6517655,left,1
SPC204,SPC,NS,word_arrow,0,2,mask,visual_word,invalid,right,up,826.983832289,right,0
SPC204,SPC,NS,word_arrow,0,3,mask,visual_arrow,valid,left,left,988.291140296,left,1
SPC204,SPC,NS,word_arrow,0,4,mask,visual_arrow,valid,left,left,1127.52222217,left,1
SPC204,SPC,NS,word_arrow,0,5,mask,visual_word,valid,left,left,674.819549778,left,1
SPC204,SPC,NS,word_arrow,0,6,mask,visual_word,invalid,left,down,730.754802178,down,1
SPC204,SPC,NS,word_arrow,0,7,mask,visual_arrow,neutral,neutral,right,630.70262759,right,1
SPC204,SPC,NS,word_arrow,0,8,mask,visual_arrow,valid,right,right,614.683447871,right,1
SPC204,SPC,NS,word_arrow,0,9,mask,visual_word,valid,left,left,471.311053028,left,1
SPC204,SPC,NS,word_arrow,0,10,mask,visual_word,valid,left,left,486.265616375,left,1
SPC204,SPC,NS,word_arrow,0,11,mask,visual_word,valid,right,right,452.522462234,right,1
SPC204,SPC,NS,word_arrow,0,12,mask,visual_arrow,valid,right,right,475.503900263,right,1
SPC204,SPC,NS,word_arrow,0,13,mask,visual_word,valid,right,right,580.433912808,right,1
SPC204,SPC,NS,word_arrow,0,14,mask,visual_word,valid,left,left,517.073873372,left,1
SPC204,SPC,NS,word_arrow,1,15,mask,visual_word,invalid,left,right,525.5786411,right,1
SPC204,SPC,NS,word_arrow,1,16,mask,visual_arrow,invalid,left,right,604.498532368,right,1
SPC204,SPC,NS,word_arrow,1,17,mask,visual_word,valid,left,left,535.475796438,left,1
SPC204,SPC,NS,word_arrow,1,18,mask,visual_word,invalid,left,right,509.431425715,right,1
SPC204,SPC,NS,word_arrow,1,19,mask,visual_word,valid,right,right,483.702022641,right,1
SPC204,SPC,NS,word_arrow,1,20,mask,visual_arrow,valid,right,right,536.988537642,right,1
SPC204,SPC,NS,word_arrow,1,21,mask,visual_arrow,valid,right,right,415.593141166,right,1
SPC204,SPC,NS,word_arrow,1,22,mask,visual_arrow,valid,right,right,433.571906411,right,1
SPC204,SPC,NS,word_arrow,1,23,mask,visual_word,invalid,left,right,554.84278826,right,1
SPC204,SPC,NS,word_arrow,1,24,mask,visual_word,valid,left,left,424.457368965,left,1
SPC204,SPC,NS,word_arrow,1,25,mask,visual_arrow,valid,right,right,458.109937783,right,1
SPC204,SPC,NS,word_arrow,1,26,mask,visual_arrow,valid,right,right,408.070406818,right,1
SPC204,SPC,NS,word_arrow,1,27,mask,visual_arrow,invalid,right,left,472.340459586,left,1
SPC204,SPC,NS,word_arrow,1,28,mask,visual_arrow,valid,right,right,416.628949519,right,1
SPC204,SPC,NS,word_arrow,1,29,mask,visual_arrow,invalid,left,right,448.896172689,right,1
SPC204,SPC,NS,word_arrow,1,30,mask,visual_word,invalid,right,down,498.848639487,down,1
SPC204,SPC,NS,word_arrow,1,31,mask,visual_word,valid,left,left,480.481606093,left,1
SPC204,SPC,NS,word_arrow,1,32,mask,visual_word,invalid,right,down,534.788885212,down,1
SPC204,SPC,NS,word_arrow,1,33,mask,visual_arrow,valid,right,right,402.723958367,right,1
SPC204,SPC,NS,word_arrow,1,34,mask,visual_arrow,invalid,right,up,2116.70257,timeout,0
SPC204,SPC,NS,word_arrow,1,35,mask,visual_arrow,valid,left,left,495.256599446,left,1
SPC204,SPC,NS,word_arrow,1,36,mask,visual_arrow,neutral,neutral,left,534.220086876,left,1
SPC204,SPC,NS,word_arrow,1,37,mask,visual_arrow,valid,left,left,457.167275366,left,1
SPC204,SPC,NS,word_arrow,1,38,mask,visual_arrow,valid,left,left,394.800152339,left,1
SPC204,SPC,NS,word_arrow,1,39,mask,visual_arrow,valid,left,left,427.418833424,left,1
SPC204,SPC,NS,word_arrow,1,40,mask,visual_arrow,valid,right,right,451.684789034,right,1
SPC204,SPC,NS,word_arrow,1,41,mask,visual_word,valid,right,right,452.665542078,right,1
SPC204,SPC,NS,word_arrow,1,42,mask,visual_arrow,valid,left,left,284.60435383,left,1
SPC204,SPC,NS,word_arrow,1,43,mask,visual_arrow,neutral,neutral,left,411.235127831,left,1
SPC204,SPC,NS,word_arrow,1,44,mask,visual_arrow,invalid,right,down,507.519213366,down,1
SPC204,SPC,NS,word_arrow,1,45,mask,visual_word,invalid,right,up,743.120164669,right,0
SPC204,SPC,NS,word_arrow,1,46,mask,visual_word,valid,left,left,436.74911093,left,1
SPC204,SPC,NS,word_arrow,1,47,mask,visual_arrow,valid,right,right,444.048103003,right,1
SPC204,SPC,NS,word_arrow,1,48,mask,visual_arrow,valid,left,left,411.639720493,left,1
SPC204,SPC,NS,word_arrow,1,49,mask,visual_arrow,valid,left,left,439.308223373,left,1
SPC204,SPC,NS,word_arrow,1,50,mask,visual_word,valid,right,right,416.907747102,right,1
SPC204,SPC,NS,word_arrow,1,51,mask,visual_arrow,valid,left,left,379.249583057,left,1
SPC204,SPC,NS,word_arrow,1,52,mask,visual_arrow,invalid,left,down,428.335568635,down,1
SPC204,SPC,NS,word_arrow,1,53,mask,visual_arrow,invalid,right,up,902.462125465,up,1
SPC204,SPC,NS,word_arrow,1,54,mask,visual_word,invalid,right,up,971.037056705,down,0
SPC204,SPC,NS,word_arrow,1,55,mask,visual_arrow,invalid,right,left,405.325962754,left,1
SPC204,SPC,NS,word_arrow,1,56,mask,visual_arrow,valid,right,right,416.612304864,right,1
SPC204,SPC,NS,word_arrow,1,57,mask,visual_word,valid,left,left,481.568628747,left,1
SPC204,SPC,NS,word_arrow,1,58,mask,visual_arrow,neutral,neutral,right,431.532618706,right,1
SPC204,SPC,NS,word_arrow,1,59,mask,visual_word,valid,right,right,511.473914317,right,1
SPC204,SPC,NS,word_arrow,1,60,mask,visual_word,valid,left,left,444.778546342,left,1
SPC204,SPC,NS,word_arrow,1,61,mask,visual_word,invalid,left,right,438.413574302,right,1
SPC204,SPC,NS,word_arrow,1,62,mask,visual_word,valid,right,right,392.034902528,right,1
SPC204,SPC,NS,word_arrow,1,63,mask,visual_word,invalid,right,up,842.978685221,left,0
SPC204,SPC,NS,word_arrow,1,64,mask,visual_arrow,invalid,left,right,426.951503265,right,1
SPC204,SPC,NS,word_arrow,1,65,mask,visual_word,valid,left,left,429.534622468,left,1
SPC204,SPC,NS,word_arrow,1,66,mask,visual_arrow,invalid,left,right,357.507530076,right,1
SPC204,SPC,NS,word_arrow,1,67,mask,visual_word,neutral,neutral,left,432.125743828,left,1
SPC204,SPC,NS,word_arrow,1,68,mask,visual_arrow,invalid,left,up,745.081030589,down,0
SPC204,SPC,NS,word_arrow,1,69,mask,visual_arrow,valid,right,right,443.696645147,right,1
SPC204,SPC,NS,word_arrow,1,70,mask,visual_arrow,valid,right,right,394.317137892,right,1
SPC204,SPC,NS,word_arrow,1,71,mask,visual_arrow,valid,left,left,477.278794395,left,1
SPC204,SPC,NS,word_arrow,1,72,mask,visual_word,valid,right,right,388.207276876,right,1
SPC204,SPC,NS,word_arrow,1,73,mask,visual_arrow,valid,left,left,412.847416766,left,1
SPC204,SPC,NS,word_arrow,1,74,mask,visual_word,neutral,neutral,left,397.117597517,left,1
SPC204,SPC,NS,word_arrow,1,75,mask,visual_arrow,valid,right,right,406.749719114,right,1
SPC204,SPC,NS,word_arrow,1,76,mask,visual_word,valid,right,right,392.050586932,right,1
SPC204,SPC,NS,word_arrow,1,77,mask,visual_arrow,valid,right,right,409.66765146,right,1
SPC204,SPC,NS,word_arrow,1,78,mask,visual_arrow,neutral,neutral,right,457.629484066,right,1
SPC204,SPC,NS,word_arrow,1,79,mask,visual_word,valid,right,right,416.569412919,right,1
SPC204,SPC,NS,word_arrow,1,80,mask,visual_arrow,valid,right,right,515.871618642,right,1
SPC204,SPC,NS,word_arrow,1,81,mask,visual_word,valid,right,right,479.486769123,right,1
SPC204,SPC,NS,word_arrow,1,82,mask,visual_word,invalid,right,up,670.759219385,left,0
SPC204,SPC,NS,word_arrow,1,83,mask,visual_word,invalid,left,down,637.384807924,down,1
SPC204,SPC,NS,word_arrow,1,84,mask,visual_arrow,invalid,right,left,605.012275453,left,1
SPC204,SPC,NS,word_arrow,1,85,mask,visual_word,neutral,neutral,right,636.962930497,right,1
SPC204,SPC,NS,word_arrow,1,86,mask,visual_word,valid,right,right,447.570683667,right,1
SPC204,SPC,NS,word_arrow,1,87,mask,visual_word,valid,left,left,393.180501414,left,1
SPC204,SPC,NS,word_arrow,1,88,mask,visual_word,valid,right,right,395.130164223,right,1
SPC204,SPC,NS,word_arrow,1,89,mask,visual_word,valid,left,left,508.778123825,left,1
SPC204,SPC,NS,word_arrow,1,90,mask,visual_arrow,valid,right,right,434.733829927,right,1
SPC204,SPC,NS,word_arrow,1,91,mask,visual_word,valid,left,left,435.995301115,left,1
SPC204,SPC,NS,word_arrow,1,92,mask,visual_word,valid,left,left,452.960664232,left,1
SPC204,SPC,NS,word_arrow,1,93,mask,visual_word,valid,left,left,493.917666667,left,1
SPC204,SPC,NS,word_arrow,1,94,mask,visual_arrow,neutral,neutral,left,444.519914337,left,1
SPC204,SPC,NS,word_arrow,1,95,mask,visual_arrow,valid,right,right,1126.45536521,right,1
SPC204,SPC,NS,word_arrow,1,96,mask,visual_word,valid,right,right,764.778674406,right,1
SPC204,SPC,NS,word_arrow,1,97,mask,visual_word,valid,left,left,425.389788521,left,1
SPC204,SPC,NS,word_arrow,1,98,mask,visual_word,valid,right,right,428.345811495,right,1
SPC204,SPC,NS,word_arrow,1,99,mask,visual_word,invalid,left,up,979.610323498,left,0
SPC204,SPC,NS,word_arrow,1,100,mask,visual_arrow,valid,left,left,615.233360964,left,1
SPC204,SPC,NS,word_arrow,1,101,mask,visual_word,valid,right,right,466.527961369,right,1
SPC204,SPC,NS,word_arrow,1,102,mask,visual_word,valid,right,right,473.158607376,right,1
SPC204,SPC,NS,word_arrow,1,103,mask,visual_word,valid,left,left,374.441844586,left,1
SPC204,SPC,NS,word_arrow,1,104,mask,visual_arrow,valid,right,right,311.392291565,right,1
SPC204,SPC,NS,word_arrow,1,105,mask,visual_arrow,valid,right,right,438.650440308,right,1
SPC204,SPC,NS,word_arrow,2,106,mask,visual_word,valid,left,left,532.83826221,left,1
SPC204,SPC,NS,word_arrow,2,107,mask,visual_word,valid,left,left,465.788555506,left,1
SPC204,SPC,NS,word_arrow,2,108,mask,visual_word,invalid,right,left,491.072394536,left,1
SPC204,SPC,NS,word_arrow,2,109,mask,visual_word,valid,left,left,423.349540506,left,1
SPC204,SPC,NS,word_arrow,2,110,mask,visual_arrow,valid,right,right,422.992961248,right,1
SPC204,SPC,NS,word_arrow,2,111,mask,visual_arrow,valid,left,left,430.292273348,left,1
SPC204,SPC,NS,word_arrow,2,112,mask,visual_word,valid,left,left,382.221930602,left,1
SPC204,SPC,NS,word_arrow,2,113,mask,visual_arrow,invalid,left,up,570.208025922,up,1
SPC204,SPC,NS,word_arrow,2,114,mask,visual_arrow,valid,left,left,414.804441563,left,1
SPC204,SPC,NS,word_arrow,2,115,mask,visual_arrow,valid,left,left,464.108087705,left,1
SPC204,SPC,NS,word_arrow,2,116,mask,visual_arrow,valid,left,left,465.393245453,left,1
SPC204,SPC,NS,word_arrow,2,117,mask,visual_arrow,valid,right,right,472.672712116,right,1
SPC204,SPC,NS,word_arrow,2,118,mask,visual_arrow,invalid,right,down,1319.96747898,up,0
SPC204,SPC,NS,word_arrow,2,119,mask,visual_word,invalid,right,left,390.572735458,left,1
SPC204,SPC,NS,word_arrow,2,120,mask,visual_word,valid,left,left,418.540521699,left,1
SPC204,SPC,NS,word_arrow,2,121,mask,visual_arrow,invalid,left,down,618.141050509,down,1
SPC204,SPC,NS,word_arrow,2,122,mask,visual_arrow,valid,right,right,450.439642416,right,1
SPC204,SPC,NS,word_arrow,2,123,mask,visual_word,neutral,neutral,left,426.398069249,left,1
SPC204,SPC,NS,word_arrow,2,124,mask,visual_arrow,valid,left,left,396.688037959,left,1
SPC204,SPC,NS,word_arrow,2,125,mask,visual_arrow,invalid,left,right,455.634688667,right,1
SPC204,SPC,NS,word_arrow,2,126,mask,visual_word,valid,left,left,389.586220786,left,1
SPC204,SPC,NS,word_arrow,2,127,mask,visual_word,valid,right,right,398.202379525,right,1
SPC204,SPC,NS,word_arrow,2,128,mask,visual_arrow,invalid,left,down,455.518496397,down,1
SPC204,SPC,NS,word_arrow,2,129,mask,visual_arrow,valid,right,right,365.465585608,right,1
SPC204,SPC,NS,word_arrow,2,130,mask,visual_word,valid,left,left,366.770909051,left,1
