subj_id,seed,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,soa,target_loc_x,target_loc_y,rt,response_type,is_correct
SPC318,318,SPC,DZ,word_arrow,0,0,nomask,visual_word,valid,left,left,0.175,-231.131426363,-4.63017007586,2116.73297849,timeout,0
SPC318,318,SPC,DZ,word_arrow,0,1,nomask,visual_arrow,valid,left,left,0.175,-185.701868802,-19.3536332941,2116.58509728,timeout,0
SPC318,318,SPC,DZ,word_arrow,0,2,nomask,visual_word,valid,left,left,0.175,-202.900526524,1.31942396316,342.83176437,left,1
SPC318,318,SPC,DZ,word_arrow,0,3,nomask,visual_arrow,valid,right,right,0.175,223.023626842,15.6911497727,378.558190539,right,1
SPC318,318,SPC,DZ,word_arrow,0,4,nomask,visual_arrow,valid,left,left,0.175,-196.203912613,52.6403031658,2116.64975528,timeout,0
SPC318,318,SPC,DZ,word_arrow,0,5,nomask,visual_arrow,invalid,left,up,0.175,-22.259693357,191.814472206,241.562931216,left,0
SPC318,318,SPC,DZ,word_arrow,0,6,nomask,visual_word,valid,right,right,0.175,256.952345441,41.0838267849,2116.6516759,timeout,0
SPC318,318,SPC,DZ,word_arrow,0,7,nomask,visual_arrow,valid,right,right,0.175,192.793626242,-23.6581564894,2116.62030709,timeout,0
SPC318,318,SPC,DZ,word_arrow,0,8,nomask,visual_arrow,valid,left,left,0.175,-221.836314149,29.0462686373,322.084228275,left,1
SPC318,318,SPC,DZ,word_arrow,0,9,nomask,visual_word,neutral,neutral,right,0.175,185.661537988,26.6336230994,1894.51751369,right,1
SPC318,318,SPC,DZ,word_arrow,0,10,nomask,visual_arrow,valid,left,left,0.175,-273.922857459,-40.3919120684,220.362148713,left,1
SPC318,318,SPC,DZ,word_arrow,0,11,nomask,visual_arrow,invalid,right,up,0.175,-39.1850700125,230.311439323,2116.63247051,timeout,0
SPC318,318,SPC,DZ,word_arrow,0,12,nomask,visual_word,valid,left,left,0.175,-176.710661219,49.6573074798,2116.63119006,timeout,0
SPC318,318,SPC,DZ,word_arrow,0,13,nomask,visual_arrow,valid,right,right,0.175,166.196409437,-11.4267237078,161.94268479,right,1
SPC318,318,SPC,DZ,word_arrow,0,14,nomask,visual_word,neutral,neutral,left,0.175,-223.923558788,21.4200901434,2116.63919233,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,15,nomask,visual_word,valid,left,left,0.175,-218.455393136,20.483266411,2116.62990984,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,16,nomask,visual_word,valid,right,right,0.175,249.086543296,34.5724896514,2116.64015264,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,17,nomask,visual_word,invalid,right,left,0.175,-169.825165651,15.6182822555,2116.69904902,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,18,nomask,visual_arrow,valid,left,left,0.175,-248.331120542,-37.6201598352,1847.13088116,left,1
SPC318,318,SPC,DZ,word_arrow,1,19,nomask,visual_arrow,valid,right,right,0.175,204.36453317,46.4986142889,222.650465905,right,1
SPC318,318,SPC,DZ,word_arrow,1,20,nomask,visual_word,neutral,neutral,right,0.175,198.67428641,-53.9293018183,271.07834816,left,0
SPC318,318,SPC,DZ,word_arrow,1,21,nomask,visual_arrow,valid,left,left,0.175,-238.443720435,23.6485876697,165.770630585,left,1
SPC318,318,SPC,DZ,word_arrow,1,22,nomask,visual_arrow,valid,right,right,0.175,207.657128436,-17.3186325078,2116.44137732,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,23,nomask,visual_word,valid,right,right,0.175,223.7038111,-48.3594896377,2116.64783466,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,24,nomask,visual_word,valid,right,right,0.175,181.973792937,24.4360186611,2116.67632265,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,25,nomask,visual_arrow,neutral,neutral,right,0.175,269.28817628,36.8350534864,2116.61742628,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,26,nomask,visual_arrow,invalid,right,left,0.175,-205.969292482,-11.8196757364,2116.62926967,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,27,nomask,visual_word,invalid,right,left,0.175,-182.029754278,17.0564516046,2116.62094726,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,28,nomask,visual_word,valid,left,left,0.175,-187.602016542,12.929162352,2116.61358515,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,29,nomask,visual_arrow,valid,left,left,0.175,-182.660637504,51.1990899158,2116.63247051,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,30,nomask,visual_word,invalid,left,down,0.175,35.0876732259,-263.75593769,319.867611164,right,0
SPC318,318,SPC,DZ,word_arrow,1,31,nomask,visual_arrow,valid,left,left,0.175,-219.575566699,-50.8587735556,188.606748125,down,0
SPC318,318,SPC,DZ,word_arrow,1,32,nomask,visual_arrow,valid,left,left,0.175,-211.192915785,12.85963086,1278.28739525,left,1
SPC318,318,SPC,DZ,word_arrow,1,33,nomask,visual_word,valid,right,right,0.175,174.216071419,41.1534423407,124.458969454,left,0
SPC318,318,SPC,DZ,word_arrow,1,34,nomask,visual_arrow,valid,right,right,0.175,233.708424822,5.26278809604,2116.65039544,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,35,nomask,visual_word,valid,right,right,0.175,266.349764436,-6.97869552893,2116.61230482,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,36,nomask,visual_arrow,valid,left,left,0.175,-231.415027997,-22.7338695215,252.579118009,right,0
SPC318,318,SPC,DZ,word_arrow,1,37,nomask,visual_arrow,invalid,right,down,0.175,40.8149163564,-176.9270979,275.952985394,right,0
SPC318,318,SPC,DZ,word_arrow,1,38,nomask,visual_word,invalid,right,up,0.175,-2.25253553374,201.108509288,506.404983229,right,0
SPC318,318,SPC,DZ,word_arrow,1,39,nomask,visual_arrow,invalid,left,right,0.175,207.149048534,-32.0266254929,2116.6158258,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,40,nomask,visual_word,invalid,left,right,0.175,180.492116483,2.05928553882,184.004506911,left,0
SPC318,318,SPC,DZ,word_arrow,1,41,nomask,visual_arrow,valid,right,right,0.175,169.255928946,11.3836409127,258.074727957,right,1
SPC318,318,SPC,DZ,word_arrow,1,42,nomask,visual_arrow,valid,right,right,0.175,198.929176073,32.5901528544,249.137519975,right,1
SPC318,318,SPC,DZ,word_arrow,1,43,nomask,visual_arrow,invalid,left,down,0.175,-26.1185313417,-254.341186009,120.543639292,right,0
SPC318,318,SPC,DZ,word_arrow,1,44,nomask,visual_word,valid,right,right,0.175,214.151619891,52.2114341352,164.956964087,left,0
SPC318,318,SPC,DZ,word_arrow,1,45,nomask,visual_word,invalid,left,up,0.175,5.99646009443,268.255482054,2116.61838659,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,46,nomask,visual_word,valid,right,right,0.175,199.564361738,-42.6146164544,2116.60590302,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,47,nomask,visual_arrow,neutral,neutral,right,0.175,254.427010108,26.4172996468,158.395777456,right,1
SPC318,318,SPC,DZ,word_arrow,1,48,nomask,visual_arrow,valid,right,right,0.175,218.268435757,43.1560051244,2116.65199581,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,49,nomask,visual_word,valid,right,right,0.175,211.047706617,-5.62341687465,2116.62062723,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,50,nomask,visual_word,valid,right,right,0.175,264.808288856,-7.86988263794,2116.60910398,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,51,nomask,visual_word,invalid,right,left,0.175,-221.276081293,-1.31712721929,1051.41655437,left,1
SPC318,318,SPC,DZ,word_arrow,1,52,nomask,visual_word,valid,left,left,0.175,-226.312340476,40.8793214692,138.92059552,left,1
SPC318,318,SPC,DZ,word_arrow,1,53,nomask,visual_arrow,valid,right,right,0.175,215.011921133,40.2518088312,2116.6961682,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,54,nomask,visual_word,valid,left,left,0.175,-228.061778627,44.7252862479,129.51925816,right,0
SPC318,318,SPC,DZ,word_arrow,1,55,nomask,visual_arrow,valid,left,left,0.175,-249.810615687,42.5104170011,2116.64783477,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,56,nomask,visual_word,invalid,right,left,0.175,-245.037866529,40.1527764697,2116.57741515,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,57,nomask,visual_arrow,valid,left,left,0.175,-238.184309519,-17.9484699213,2116.64047267,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,58,nomask,visual_arrow,valid,left,left,0.175,-218.440959445,40.6069997035,2116.64079281,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,59,nomask,visual_arrow,valid,left,left,0.175,-222.51781802,-45.269921568,2116.62702903,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,60,nomask,visual_arrow,neutral,neutral,right,0.175,234.415829144,-27.2655143029,2116.63119018,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,61,nomask,visual_arrow,invalid,right,down,0.175,3.06395276062,-167.341010083,2116.59886118,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,62,nomask,visual_word,valid,left,left,0.175,-212.46688686,41.5643561022,164.7354624,down,0
SPC318,318,SPC,DZ,word_arrow,1,63,nomask,visual_arrow,invalid,left,right,0.175,213.286525577,34.7366178224,167.424530955,left,0
SPC318,318,SPC,DZ,word_arrow,1,64,nomask,visual_arrow,invalid,left,right,0.175,175.535199154,-51.7546793146,2116.61614594,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,65,nomask,visual_arrow,valid,right,right,0.175,199.107501586,35.6419302295,118.056546897,down,0
SPC318,318,SPC,DZ,word_arrow,1,66,nomask,visual_word,valid,right,right,0.175,212.690321274,-41.9300388688,2116.67344195,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,67,nomask,visual_word,valid,left,left,0.175,-202.978823062,-51.2447184065,178.978147567,right,0
SPC318,318,SPC,DZ,word_arrow,1,68,nomask,visual_word,valid,right,right,0.175,171.081214298,-24.6769725401,2116.62222771,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,69,nomask,visual_arrow,valid,left,left,0.175,-211.44927123,-28.3057909219,2116.60206201,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,70,nomask,visual_word,valid,left,left,0.175,-201.24071967,-40.1094900518,2116.61070446,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,71,nomask,visual_word,valid,left,left,0.175,-179.573107558,41.7497323458,2116.66864052,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,72,nomask,visual_word,valid,left,left,0.175,-211.65990895,46.7118687599,145.676716464,left,1
SPC318,318,SPC,DZ,word_arrow,1,73,nomask,visual_arrow,valid,right,right,0.175,206.098993007,-43.51727269,2116.73041771,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,74,nomask,visual_arrow,valid,left,left,0.175,-261.621510716,-2.78392174396,2116.62702903,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,75,nomask,visual_arrow,invalid,right,up,0.175,-40.9002058575,263.77066355,2116.62574857,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,76,nomask,visual_word,valid,right,right,0.175,237.142797392,-23.711992458,2116.61966692,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,77,nomask,visual_word,valid,right,right,0.175,227.227553615,21.7463099105,2116.68176425,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,78,nomask,visual_word,invalid,right,left,0.175,-268.935162961,-9.11376138843,2116.62830936,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,79,nomask,visual_arrow,invalid,left,down,0.175,-47.2793215202,-215.664103232,2116.61358515,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,80,nomask,visual_arrow,valid,left,left,0.175,-203.279598796,30.8659578597,2116.6231879,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,81,nomask,visual_word,valid,right,right,0.175,266.395750545,29.5352219496,2116.6516759,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,82,nomask,visual_arrow,invalid,right,left,0.175,-252.586346976,-40.9544565151,2116.65327626,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,83,nomask,visual_arrow,invalid,right,left,0.175,-217.047664743,21.5516324592,2116.64975528,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,84,nomask,visual_arrow,valid,right,right,0.175,182.725002751,33.6111934058,2116.60622316,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,85,nomask,visual_arrow,valid,left,left,0.175,-263.283309605,45.8238323201,2116.65071559,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,86,nomask,visual_arrow,valid,right,right,0.175,177.400018922,-42.7836347985,2116.68208428,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,87,nomask,visual_word,valid,left,left,0.175,-255.259638207,-52.8351891776,2116.61326513,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,88,nomask,visual_arrow,invalid,right,left,0.175,-177.067213644,36.6047257895,185.413219035,left,1
SPC318,318,SPC,DZ,word_arrow,1,89,nomask,visual_word,valid,right,right,0.175,187.331169915,-7.65314140795,2116.7016098,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,90,nomask,visual_arrow,valid,left,left,0.175,-168.662497742,-6.17160552828,2116.74354132,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,91,nomask,visual_arrow,valid,left,left,0.175,-184.997403217,13.2040431716,2116.62574869,timeout,0
SPC318,318,SPC,DZ,word_arrow,1,92,nomask,visual_arrow,valid,right,right,0.175,207.323291919,-7.91319982205,182.135506533,right,1
SPC318,318,SPC,DZ,word_arrow,1,93,nomask,visual_arrow,neutral,neutral,left,0.175,-227.951963093,17.5775302912,2116.64175312,timeout,0
