subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	interval	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	0	0					0.1	1	right	181.605935863	10.3985240373	1.0	520.073508844	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	1	0					0.1	1	left	-198.377444189	-20.2490789701	1.0	410.50082352	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	2	0					0.1	0					1328.95747107		nogo	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	3	0					0.1	0					1336.55397967		nogo	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	4	0					0.1	1	left	-201.583597448	-1.93462697576	1.0	413.199489936	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	5	0					0.1	1	right	207.576502094	-10.232192257	1.0	419.37043611	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	6	0					0.1	1	right	200.574798278	15.6082408196	1.0	444.825877436	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	7	0					0.1	1	left	-187.453876196	-6.2599532722	1.0	363.821401261	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	8	0					0.1	0					1336.65185049		nogo	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	practice	9	0					0.1	0					1336.94156539		nogo	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	cueing_effect	0	1	frame	left	-200	0	0.1	0					1358.68804436		nogo	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	cueing_effect	1	0					0.1	1	right	222.057821951	3.48448583209	1.0	423.914226703	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	cueing_effect	2	1	frame	left	-200	0	0.1	1	left	-223.88718796	9.62780891906	1.0	375.265294686	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	cueing_effect	3	0					0.1	1	left	-199.490467741	2.32234609645	1.0	486.581722274	 	go	1
SPC503	2015_Apr_24_1306	LL-Kramer	wr	cueing_effect	4	0					0.1	1	left	-196.835971181	-1.10841895537	1.0	386.084530503	 	go	1
